Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
BSCRO1536-25_r_1_s_100_BSCRO1536-25,BSCRO1536-25,r_1_s_100_merge,>BSCRO1536-25_r_1_s_100_BSCRO1536-25_merge,1522026,YP_009364246.1,family:Julidae,,1303,null,1530,0.0,189.0,124.38,140.5,null,null,null,null,null,null
BSCRO1558-25_r_1.3_s_50_BSCRO1558-25,BSCRO1558-25,r_1.3_s_50_merge,>BSCRO1558-25_r_1.3_s_50_BSCRO1558-25_merge,1147024,NP_071839.1,genus:Lithobius,,220,null,1533,0.0,34.0,19.86,22.0,null,null,null,null,null,null
BSCRO1611-25_r_1.5_s_100_BSCRO1611-25,BSCRO1611-25,r_1.5_s_100_merge,>BSCRO1611-25_r_1.5_s_100_BSCRO1611-25_merge,1147023,YP_009122988.1,order:Geophilomorpha,,296,null,1554,0.0,73.0,29.2,28.0,null,null,null,null,null,null
BSCRO1604-25_r_1.5_s_100_BSCRO1604-25,BSCRO1604-25,r_1.5_s_100_merge,>BSCRO1604-25_r_1.5_s_100_BSCRO1604-25_merge,3139680,GAB6026839.1,subclass:Helminthomorpha,,7,null,6552,0.0,7.0,0.12,0.0,null,null,null,null,null,null
BSCRO1608-25_r_1.3_s_50_BSCRO1608-25,BSCRO1608-25,r_1.3_s_50_merge,>BSCRO1608-25_r_1.3_s_50_BSCRO1608-25_merge,2772102,GAB6026839.1,order:Polydesmida,,152,null,6552,0.0,14.0,1.05,0.0,null,null,null,null,null,null
BSCRO1610-25_r_1.3_s_50_BSCRO1610-25,BSCRO1610-25,r_1.3_s_50_merge,>BSCRO1610-25_r_1.3_s_50_BSCRO1610-25_merge,1147023,YP_009122988.1,order:Geophilomorpha,,1029,null,1554,0.0,169.0,83.27,92.0,null,null,null,null,null,null
BSCRO1537-25_r_1.3_s_100_BSCRO1537-25,BSCRO1537-25,r_1.3_s_100_merge,>BSCRO1537-25_r_1.3_s_100_BSCRO1537-25_merge,1971496,YP_009364246.1,family:Julidae,,914,null,1530,0.0,184.0,87.32,88.0,null,null,null,null,null,null
BSCRO1568-25_r_1.5_s_50_BSCRO1568-25,BSCRO1568-25,r_1.5_s_50_merge,>BSCRO1568-25_r_1.5_s_50_BSCRO1568-25_merge,1428154,YP_009122988.1,order:Geophilomorpha,,522,null,1554,0.0,110.0,44.1,46.0,null,null,null,null,null,null
BSCRO1583-25_r_1.5_s_100_BSCRO1583-25,BSCRO1583-25,r_1.5_s_100_merge,>BSCRO1583-25_r_1.5_s_100_BSCRO1583-25_merge,2772102,GAB6026839.1,order:Polydesmida,,8,null,6552,0.0,7.0,0.14,0.0,null,null,null,null,null,null
BSCRO1570-25_r_1.3_s_100_BSCRO1570-25,BSCRO1570-25,r_1.3_s_100_merge,>BSCRO1570-25_r_1.3_s_100_BSCRO1570-25_merge,1428154,YP_009122988.1,order:Geophilomorpha,,1218,null,1554,0.0,221.0,128.58,141.0,null,null,null,null,null,null
BSCRO1599-25_r_1_s_100_BSCRO1599-25,BSCRO1599-25,r_1_s_100_merge,>BSCRO1599-25_r_1_s_100_BSCRO1599-25_merge,3139686,GAB6026839.1,subclass:Helminthomorpha,,132,null,6552,0.0,45.0,2.42,0.0,null,null,null,null,null,null
BSCRO1601-25_r_1.5_s_100_BSCRO1601-25,BSCRO1601-25,r_1.5_s_100_merge,>BSCRO1601-25_r_1.5_s_100_BSCRO1601-25_merge,3139686,GAB6026839.1,subclass:Helminthomorpha,,5,null,6552,0.0,3.0,0.09,0.0,null,null,null,null,null,null
BSCRO1596-25_r_1.3_s_100_BSCRO1596-25,BSCRO1596-25,r_1.3_s_100_merge,>BSCRO1596-25_r_1.3_s_100_BSCRO1596-25_merge,1522026,YP_009364246.1,family:Julidae,,1018,null,1530,0.0,282.0,96.67,81.0,null,null,null,null,null,null
BSCRO1592-25_r_1.3_s_50_BSCRO1592-25,BSCRO1592-25,r_1.3_s_50_merge,>BSCRO1592-25_r_1.3_s_50_BSCRO1592-25_merge,1971492,YP_009364246.1,family:Julidae,,1463,null,1530,0.0,318.0,126.0,126.0,null,null,null,null,null,null
BSCRO1591-25_r_1_s_50_BSCRO1591-25,BSCRO1591-25,r_1_s_50_merge,>BSCRO1591-25_r_1_s_50_BSCRO1591-25_merge,421836,GAB6026839.1,order:Polydesmida,,987,null,6552,0.0,77.0,8.45,3.0,null,null,null,null,null,null
BSCRO1595-25_r_1_s_50_BSCRO1595-25,BSCRO1595-25,r_1_s_50_merge,>BSCRO1595-25_r_1_s_50_BSCRO1595-25_merge,1522026,YP_009364246.1,family:Julidae,,1016,null,1530,0.0,130.0,82.26,90.0,null,null,null,null,null,null
BSCRO1577-25_r_1_s_100_BSCRO1577-25,BSCRO1577-25,r_1_s_100_merge,>BSCRO1577-25_r_1_s_100_BSCRO1577-25_merge,1569481,YP_009122988.1,order:Geophilomorpha,,642,null,1554,0.0,95.0,63.95,66.0,null,null,null,null,null,null
BSCRO1530-25_r_1.3_s_50_BSCRO1530-25,BSCRO1530-25,r_1.3_s_50_merge,>BSCRO1530-25_r_1.3_s_50_BSCRO1530-25_merge,1870780,GAB6026839.1,subclass:Helminthomorpha,,133,null,6552,0.0,21.0,1.12,0.0,null,null,null,null,null,null
BSCRO1533-25_r_1_s_50_BSCRO1533-25,BSCRO1533-25,r_1_s_50_merge,>BSCRO1533-25_r_1_s_50_BSCRO1533-25_merge,421770,GAB6026839.1,subclass:Helminthomorpha,,534,null,6552,0.0,44.0,4.39,1.0,null,null,null,null,null,null
BSCRO1578-25_r_1_s_100_BSCRO1578-25,BSCRO1578-25,r_1_s_100_merge,>BSCRO1578-25_r_1_s_100_BSCRO1578-25_merge,1255758,YP_009122988.1,genus:Strigamia,,1090,null,1554,0.0,160.0,112.58,123.0,null,null,null,null,null,null
BSCRO1587-25_r_1.3_s_50_BSCRO1587-25,BSCRO1587-25,r_1.3_s_50_merge,>BSCRO1587-25_r_1.3_s_50_BSCRO1587-25_merge,2678660,YP_009945355.1,family:Polydesmidae,,848,null,1530,0.0,158.0,80.85,81.0,null,null,null,null,null,null
BSCRO1556-25_r_1.5_s_50_BSCRO1556-25,BSCRO1556-25,r_1.5_s_50_merge,>BSCRO1556-25_r_1.5_s_50_BSCRO1556-25_merge,1147024,NP_071839.1,genus:Lithobius,,493,null,1533,0.0,118.0,42.45,43.0,null,null,null,null,null,null
BSCRO1580-25_r_1.3_s_50_BSCRO1580-25,BSCRO1580-25,r_1.3_s_50_merge,>BSCRO1580-25_r_1.3_s_50_BSCRO1580-25_merge,1255758,YP_009122988.1,genus:Strigamia,,626,null,1554,0.0,88.0,58.51,67.0,null,null,null,null,null,null
BSCRO1544-25_r_1.5_s_50_BSCRO1544-25,BSCRO1544-25,r_1.5_s_50_merge,>BSCRO1544-25_r_1.5_s_50_BSCRO1544-25_merge,1391732,NP_071839.1,family:Lithobiidae,,664,null,1533,0.0,156.0,63.23,65.0,null,null,null,null,null,null
BSCRO1581-25_r_1_s_100_BSCRO1581-25,BSCRO1581-25,r_1_s_100_merge,>BSCRO1581-25_r_1_s_100_BSCRO1581-25_merge,3139681,GAB6026839.1,subclass:Helminthomorpha,,59,null,6552,0.0,21.0,1.11,0.0,null,null,null,null,null,null
BSCRO1615-25_r_1_s_50_BSCRO1615-25,BSCRO1615-25,r_1_s_50_merge,>BSCRO1615-25_r_1_s_50_BSCRO1615-25_merge,1147023,YP_009122988.1,order:Geophilomorpha,,1254,null,1554,0.0,194.0,108.42,110.0,null,null,null,null,null,null
BSCRO1605-25_r_1.3_s_100_BSCRO1605-25,BSCRO1605-25,r_1.3_s_100_merge,>BSCRO1605-25_r_1.3_s_100_BSCRO1605-25_merge,421770,GAB6026839.1,subclass:Helminthomorpha,,26,null,6552,0.0,10.0,0.4,0.0,null,null,null,null,null,null
BSCRO1561-25_r_1.3_s_50_BSCRO1561-25,BSCRO1561-25,r_1.3_s_50_merge,>BSCRO1561-25_r_1.3_s_50_BSCRO1561-25_merge,1147023,YP_009122988.1,order:Geophilomorpha,,254,null,1554,0.0,46.0,23.61,27.0,null,null,null,null,null,null
BSCRO1594-25_r_1.3_s_50_BSCRO1594-25,BSCRO1594-25,r_1.3_s_50_merge,>BSCRO1594-25_r_1.3_s_50_BSCRO1594-25_merge,1971492,YP_009364246.1,family:Julidae,,236,null,1530,0.0,38.0,17.18,16.0,null,null,null,null,null,null
BSCRO1550-25_r_1.5_s_100_BSCRO1550-25,BSCRO1550-25,r_1.5_s_100_merge,>BSCRO1550-25_r_1.5_s_100_BSCRO1550-25_merge,1147024,NP_071839.1,genus:Lithobius,,309,null,1533,0.0,57.0,25.71,27.0,null,null,null,null,null,null
BSCRO1550-25_r_1.3_s_50_BSCRO1550-25,BSCRO1550-25,r_1.3_s_50_merge,>BSCRO1550-25_r_1.3_s_50_BSCRO1550-25_merge,1147024,NP_071839.1,genus:Lithobius,,647,null,1533,0.0,91.0,50.34,56.0,null,null,null,null,null,null
BSCRO1612-25_r_1.5_s_100_BSCRO1612-25,BSCRO1612-25,r_1.5_s_100_merge,>BSCRO1612-25_r_1.5_s_100_BSCRO1612-25_merge,1147023,YP_009122988.1,order:Geophilomorpha,,695,null,1554,0.0,163.0,68.83,64.0,null,null,null,null,null,null
BSCRO1582-25_r_1.3_s_50_BSCRO1582-25,BSCRO1582-25,r_1.3_s_50_merge,>BSCRO1582-25_r_1.3_s_50_BSCRO1582-25_merge,3139692,GAB6026839.1,subclass:Helminthomorpha,,153,null,6552,0.0,24.0,1.06,0.0,null,null,null,null,null,null
BSCRO1568-25_r_1.3_s_50_BSCRO1568-25,BSCRO1568-25,r_1.3_s_50_merge,>BSCRO1568-25_r_1.3_s_50_BSCRO1568-25_merge,1428154,YP_009122988.1,order:Geophilomorpha,,923,null,1554,0.0,141.0,82.07,90.0,null,null,null,null,null,null
BSCRO1538-25_r_1.3_s_100_BSCRO1538-25,BSCRO1538-25,r_1.3_s_100_merge,>BSCRO1538-25_r_1.3_s_100_BSCRO1538-25_merge,1870780,GAB6026839.1,subclass:Helminthomorpha,,14,null,6552,0.0,6.0,0.24,0.0,null,null,null,null,null,null
BSCRO1610-25_r_1.5_s_100_BSCRO1610-25,BSCRO1610-25,r_1.5_s_100_merge,>BSCRO1610-25_r_1.5_s_100_BSCRO1610-25_merge,1147023,YP_009122988.1,order:Geophilomorpha,,453,null,1554,0.0,110.0,41.77,39.0,null,null,null,null,null,null
BSCRO1544-25_r_1_s_50_BSCRO1544-25,BSCRO1544-25,r_1_s_50_merge,>BSCRO1544-25_r_1_s_50_BSCRO1544-25_merge,1391732,NP_071839.1,family:Lithobiidae,,1482,null,1533,0.0,193.0,134.26,137.0,null,null,null,null,null,null
BSCRO1537-25_r_1.5_s_50_BSCRO1537-25,BSCRO1537-25,r_1.5_s_50_merge,>BSCRO1537-25_r_1.5_s_50_BSCRO1537-25_merge,1971496,YP_009364246.1,family:Julidae,,697,null,1530,0.0,190.0,55.71,47.0,null,null,null,null,null,null
BSCRO1543-25_r_1.5_s_50_BSCRO1543-25,BSCRO1543-25,r_1.5_s_50_merge,>BSCRO1543-25_r_1.5_s_50_BSCRO1543-25_merge,1391732,NP_071839.1,family:Lithobiidae,,396,null,1533,0.0,83.0,34.79,34.0,null,null,null,null,null,null
BSCRO1530-25_r_1.5_s_50_BSCRO1530-25,BSCRO1530-25,r_1.5_s_50_merge,>BSCRO1530-25_r_1.5_s_50_BSCRO1530-25_merge,1870780,GAB6026839.1,subclass:Helminthomorpha,,53,null,6552,0.0,10.0,0.36,0.0,null,null,null,null,null,null
BSCRO1579-25_r_1.5_s_50_BSCRO1579-25,BSCRO1579-25,r_1.5_s_50_merge,>BSCRO1579-25_r_1.5_s_50_BSCRO1579-25_merge,1255758,YP_009122988.1,genus:Strigamia,,2053,null,1554,0.0,1595.0,75.19,42.0,null,null,null,null,null,null
BSCRO1571-25_r_1.5_s_50_BSCRO1571-25,BSCRO1571-25,r_1.5_s_50_merge,>BSCRO1571-25_r_1.5_s_50_BSCRO1571-25_merge,1428154,YP_009122988.1,order:Geophilomorpha,,645,null,1554,0.0,143.0,56.41,59.0,null,null,null,null,null,null
BSCRO1602-25_r_1.5_s_50_BSCRO1602-25,BSCRO1602-25,r_1.5_s_50_merge,>BSCRO1602-25_r_1.5_s_50_BSCRO1602-25_merge,3139680,GAB6026839.1,subclass:Helminthomorpha,,46,null,6552,0.0,12.0,0.3,0.0,null,null,null,null,null,null
