Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
MUSBA3469-25_r_1.5_s_50_MUSBA3469-25,MUSBA3469-25,r_1.5_s_50_merge,>MUSBA3469-25_r_1.5_s_50_MUSBA3469-25_merge,34505,AKD00056.1,superfamily:Leptoplanoidea,,85,null,1554,0.0,15.0,6.76,7.0,null,null,null,null,null,null
MUSBA3464-25_r_1.5_s_100_MUSBA3464-25,MUSBA3464-25,r_1.5_s_100_merge,>MUSBA3464-25_r_1.5_s_100_MUSBA3464-25_merge,2951293,BEU28597.1,genus:Planocera,,128,null,1596,0.0,29.0,12.1,12.0,null,null,null,null,null,null
MUSBA3379-25_r_1.3_s_100_MUSBA3379-25,MUSBA3379-25,r_1.3_s_100_merge,>MUSBA3379-25_r_1.3_s_100_MUSBA3379-25_merge,1921953,YP_009176395.1,suborder:Cotylea,,18,null,1554,0.0,6.0,1.14,0.0,null,null,null,null,null,null
MUSBA3412-25_r_1.5_s_100_MUSBA3412-25,MUSBA3412-25,r_1.5_s_100_merge,>MUSBA3412-25_r_1.5_s_100_MUSBA3412-25_merge,166333,BEU28597.1,suborder:Acotylea,,150,null,1596,0.0,29.0,16.2,16.0,null,null,null,null,null,null
MUSBA3441-25_r_1.5_s_50_MUSBA3441-25,MUSBA3441-25,r_1.5_s_50_merge,>MUSBA3441-25_r_1.5_s_50_MUSBA3441-25_merge,31261,YP_009176395.1,suborder:Cotylea,,66,null,1554,0.0,10.0,3.82,4.0,null,null,null,null,null,null
MUSBA3400-25_r_1_s_100_MUSBA3400-25,MUSBA3400-25,r_1_s_100_merge,>MUSBA3400-25_r_1_s_100_MUSBA3400-25_merge,166333,BEU28597.1,suborder:Acotylea,,128,null,1596,0.0,23.0,13.49,14.0,null,null,null,null,null,null
MUSBA3434-25_r_1.3_s_50_MUSBA3434-25,MUSBA3434-25,r_1.3_s_50_merge,>MUSBA3434-25_r_1.3_s_50_MUSBA3434-25_merge,107732,AKD00056.1,family:Leptoplanidae,,408,null,1554,1.0,71.0,31.8,31.0,null,null,null,null,null,null
MUSBA3442-25_r_1.3_s_50_MUSBA3442-25,MUSBA3442-25,r_1.3_s_50_merge,>MUSBA3442-25_r_1.3_s_50_MUSBA3442-25_merge,2666497,AVP74418.1,family:Stylochidae,,476,null,1572,15.0,64.0,33.74,33.0,null,null,null,null,null,null
MUSBA3410-25_r_1.3_s_100_MUSBA3410-25,MUSBA3410-25,r_1.3_s_100_merge,>MUSBA3410-25_r_1.3_s_100_MUSBA3410-25_merge,166333,BEU28597.1,suborder:Acotylea,,208,null,1596,0.0,38.0,22.11,24.0,null,null,null,null,null,null
MUSBA3417-25_r_1.3_s_50_MUSBA3417-25,MUSBA3417-25,r_1.3_s_50_merge,>MUSBA3417-25_r_1.3_s_50_MUSBA3417-25_merge,166333,BEU28597.1,suborder:Acotylea,,327,null,1596,0.0,54.0,22.26,21.0,null,null,null,null,null,null
