Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
BGSNH097-24_r_1_s_50_BGSNH097-24,BGSNH097-24,r_1_s_50_merge,>BGSNH097-24_r_1_s_50_BGSNH097-24_merge,2599469,UAA82806.1,subfamily:Pentatominae,,73492,null,1542,2846.0,9004.0,4796.45,4549.5,null,null,null,null,null,null
BGSNH116-24_r_1.3_s_50_BGSNH116-24,BGSNH116-24,r_1.3_s_50_merge,>BGSNH116-24_r_1.3_s_50_BGSNH116-24_merge,1511221,XCX87083.1,genus:Aelia,,3069,null,1539,166.0,303.0,227.16,223.0,null,null,null,null,null,null
BGSNH135-24_r_1.3_s_100_BGSNH135-24,BGSNH135-24,r_1.3_s_100_merge,>BGSNH135-24_r_1.3_s_100_BGSNH135-24_merge,3142992,AMX28246.1,genus:Bagrada,,724,null,1515,4.0,137.0,37.57,36.0,null,null,null,null,null,null
BGSNH097-24_r_1.3_s_50_BGSNH097-24,BGSNH097-24,r_1.3_s_50_merge,>BGSNH097-24_r_1.3_s_50_BGSNH097-24_merge,2599469,UAA82806.1,subfamily:Pentatominae,,72873,null,1542,2813.0,8998.0,4757.91,4504.5,null,null,null,null,null,null
BGSNH179-24_r_1.3_s_50_BGSNH179-24,BGSNH179-24,r_1.3_s_50_merge,>BGSNH179-24_r_1.3_s_50_BGSNH179-24_merge,3127717,YP_011085550.1,species:Mecidea indica,,9230,null,1536,263.0,1110.0,497.79,462.0,null,null,null,null,null,null
BGSNH165-24_r_1.5_s_100_BGSNH165-24,BGSNH165-24,r_1.5_s_100_merge,>BGSNH165-24_r_1.5_s_100_BGSNH165-24_merge,286701,YP_009694482.1,species:Eurydema dominulus,,45834,null,1536,978.0,6039.0,2985.49,2818.0,null,null,null,null,null,null
BGSNH105-24_r_1.5_s_50_BGSNH105-24,BGSNH105-24,r_1.5_s_50_merge,>BGSNH105-24_r_1.5_s_50_BGSNH105-24_merge,1511221,XCX87083.1,genus:Aelia,,4681,null,1539,1.0,544.0,329.06,317.0,null,null,null,null,null,null
BGSNH120-24_r_1.5_s_50_BGSNH120-24,BGSNH120-24,r_1.5_s_50_merge,>BGSNH120-24_r_1.5_s_50_BGSNH120-24_merge,1331313,YP_010535099.1,species:Aelia sibirica,,809,null,1536,2.0,116.0,35.75,32.0,null,null,null,null,null,null
BGSNH176-24_r_1.5_s_50_BGSNH176-24,BGSNH176-24,r_1.5_s_50_merge,>BGSNH176-24_r_1.5_s_50_BGSNH176-24_merge,286715,UYG49485.1,subfamily:Asopinae,,8566,null,1539,0.0,1107.0,462.96,442.0,null,null,null,null,null,null
BGSNH140-24_r_1_s_100_BGSNH140-24,BGSNH140-24,r_1_s_100_merge,>BGSNH140-24_r_1_s_100_BGSNH140-24_merge,2721198,UAA82806.1,subfamily:Pentatominae,,2377,null,1542,0.0,327.0,143.08,130.0,null,null,null,null,null,null
BGSNH160-24_r_1_s_50_BGSNH160-24,BGSNH160-24,r_1_s_50_merge,>BGSNH160-24_r_1_s_50_BGSNH160-24_merge,286701,YP_009694482.1,species:Eurydema dominulus,,4301,null,1536,241.0,405.0,317.92,320.0,null,null,null,null,null,null
BGSNH098-24_r_1.3_s_50_BGSNH098-24,BGSNH098-24,r_1.3_s_50_merge,>BGSNH098-24_r_1.3_s_50_BGSNH098-24_merge,2599469,UAA82806.1,subfamily:Pentatominae,,38436,null,1542,11.0,4189.0,3109.82,2996.5,null,null,null,null,null,null
BGSNH186-24_r_1.3_s_50_BGSNH186-24,BGSNH186-24,r_1.3_s_50_merge,>BGSNH186-24_r_1.3_s_50_BGSNH186-24_merge,286715,UYG49485.1,subfamily:Asopinae,,5484,null,1539,0.0,583.0,368.28,361.0,null,null,null,null,null,null
BGSNH166-24_r_1_s_50_BGSNH166-24,BGSNH166-24,r_1_s_50_merge,>BGSNH166-24_r_1_s_50_BGSNH166-24_merge,286701,YP_009694482.1,species:Eurydema dominulus,,25161,null,1536,824.0,2890.0,1434.62,1343.0,null,null,null,null,null,null
BGSNH161-24_r_1_s_50_BGSNH161-24,BGSNH161-24,r_1_s_50_merge,>BGSNH161-24_r_1_s_50_BGSNH161-24_merge,286701,YP_009694482.1,species:Eurydema dominulus,,7172,null,1536,87.0,860.0,340.84,308.0,null,null,null,null,null,null
BGSNH096-24_r_1.5_s_100_BGSNH096-24,BGSNH096-24,r_1.5_s_100_merge,>BGSNH096-24_r_1.5_s_100_BGSNH096-24_merge,2599469,UAA82806.1,subfamily:Pentatominae,,121661,null,1542,2914.0,16293.0,11541.31,12494.0,null,null,null,null,null,null
BGSNH124-24_r_1_s_50_BGSNH124-24,BGSNH124-24,r_1_s_50_merge,>BGSNH124-24_r_1_s_50_BGSNH124-24_merge,1511221,XCX87083.1,genus:Aelia,,33923,null,1539,26.0,3281.0,2020.97,1944.0,null,null,null,null,null,null
BGSNH159-24_r_1.3_s_100_BGSNH159-24,BGSNH159-24,r_1.3_s_100_merge,>BGSNH159-24_r_1.3_s_100_BGSNH159-24_merge,286701,YP_009694482.1,species:Eurydema dominulus,,12770,null,1536,435.0,1660.0,1015.81,983.5,null,null,null,null,null,null
BGSNH154-24_r_1.3_s_50_BGSNH154-24,BGSNH154-24,r_1.3_s_50_merge,>BGSNH154-24_r_1.3_s_50_BGSNH154-24_merge,286701,YP_009694482.1,species:Eurydema dominulus,,350,null,1536,0.0,116.0,15.56,2.0,null,null,null,null,null,null
BGSNH146-24_r_1.3_s_100_BGSNH146-24,BGSNH146-24,r_1.3_s_100_merge,>BGSNH146-24_r_1.3_s_100_BGSNH146-24_merge,1867275,UAA82806.1,subfamily:Pentatominae,,22688,null,1542,0.0,3975.0,1924.03,1709.5,null,null,null,null,null,null
BGSNH140-24_r_1_s_50_BGSNH140-24,BGSNH140-24,r_1_s_50_merge,>BGSNH140-24_r_1_s_50_BGSNH140-24_merge,2721198,UAA82806.1,subfamily:Pentatominae,,2890,null,1542,1.0,347.0,159.32,147.0,null,null,null,null,null,null
