Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
ILECA1837-25_r_1.5_s_50_ILECA1837-25,ILECA1837-25,r_1.5_s_50_merge,>ILECA1837-25_r_1.5_s_50_ILECA1837-25_merge,1858048,QNV11639.1,subfamily:Pterophorinae,,1102,null,1536,0.0,178.0,109.57,116.0,null,null,null,null,null,null
ILECA1871-25_r_1.5_s_100_ILECA1871-25,ILECA1871-25,r_1.5_s_100_merge,>ILECA1871-25_r_1.5_s_100_ILECA1871-25_merge,2561109,QUQ05862.1,genus:Coleophora,,9,null,1530,0.0,3.0,0.55,0.0,null,null,null,null,null,null
ILECA1881-25_r_1_s_100_ILECA1881-25,ILECA1881-25,r_1_s_100_merge,>ILECA1881-25_r_1_s_100_ILECA1881-25_merge,2561109,QUQ05862.1,genus:Coleophora,,57,null,1530,0.0,11.0,4.27,4.0,null,null,null,null,null,null
ILECA1808-25_r_1_s_100_ILECA1808-25,ILECA1808-25,r_1_s_100_merge,>ILECA1808-25_r_1_s_100_ILECA1808-25_merge,2561039,QNV11639.1,subfamily:Pterophorinae,,3208,null,1536,0.0,403.0,306.25,300.5,null,null,null,null,null,null
ILECA1820-25_r_1.3_s_50_ILECA1820-25,ILECA1820-25,r_1.3_s_50_merge,>ILECA1820-25_r_1.3_s_50_ILECA1820-25_merge,1639171,QNV11639.1,subfamily:Pterophorinae,,302,null,1536,0.0,41.0,14.31,12.0,null,null,null,null,null,null
ILECA1811-25_r_1.3_s_50_ILECA1811-25,ILECA1811-25,r_1.3_s_50_merge,>ILECA1811-25_r_1.3_s_50_ILECA1811-25_merge,1639171,QNV11639.1,subfamily:Pterophorinae,,80,null,1536,0.0,12.0,6.5,6.0,null,null,null,null,null,null
ILECA1815-25_r_1_s_100_ILECA1815-25,ILECA1815-25,r_1_s_100_merge,>ILECA1815-25_r_1_s_100_ILECA1815-25_merge,1639171,QNV11639.1,subfamily:Pterophorinae,,578,null,1536,0.0,100.0,43.11,38.0,null,null,null,null,null,null
ILECA1830-25_r_1.3_s_100_ILECA1830-25,ILECA1830-25,r_1.3_s_100_merge,>ILECA1830-25_r_1.3_s_100_ILECA1830-25_merge,1639171,QNV11639.1,subfamily:Pterophorinae,,2090,null,1536,0.0,264.0,201.25,198.0,null,null,null,null,null,null
ILECA1851-25_r_1_s_100_ILECA1851-25,ILECA1851-25,r_1_s_100_merge,>ILECA1851-25_r_1_s_100_ILECA1851-25_merge,186115,QNV11639.1,family:Pterophoridae,,502,null,1536,0.0,88.0,51.07,49.0,null,null,null,null,null,null
ILECA1863-25_r_1.5_s_50_ILECA1863-25,ILECA1863-25,r_1.5_s_50_merge,>ILECA1863-25_r_1.5_s_50_ILECA1863-25_merge,2561109,QUQ05862.1,genus:Coleophora,,0,null,1530,0.0,0.0,0.0,0.0,null,null,null,null,null,null
