Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
BBIOP2160-24_r_1_s_50_BBIOP2160-24,BBIOP2160-24,r_1_s_50_merge,>BBIOP2160-24_r_1_s_50_BBIOP2160-24_merge,190496,XCN33691.1,subfamily:Melolonthinae,,6241,null,1539,0.0,638.0,338.78,303.0,null,null,null,null,null,null
BBIOP2140-24_r_1.5_s_50_BBIOP2140-24,BBIOP2140-24,r_1.5_s_50_merge,>BBIOP2140-24_r_1.5_s_50_BBIOP2140-24_merge,2561399,XCN33691.1,subfamily:Melolonthinae,,38,null,1539,0.0,20.0,2.12,0.0,null,null,null,null,null,null
BBIOP2148-24_r_1.5_s_50_BBIOP2148-24,BBIOP2148-24,r_1.5_s_50_merge,>BBIOP2148-24_r_1.5_s_50_BBIOP2148-24_merge,190496,XCN33691.1,subfamily:Melolonthinae,,6588,null,1539,0.0,974.0,491.96,516.0,null,null,null,null,null,null
BBIOP2130-24_r_1_s_100_BBIOP2130-24,BBIOP2130-24,r_1_s_100_merge,>BBIOP2130-24_r_1_s_100_BBIOP2130-24_merge,702309,AND96251.1,family:Scarabaeidae,,8510,null,1548,0.0,1303.0,498.51,475.5,null,null,null,null,null,null
BBIOP2121-24_r_1.5_s_100_BBIOP2121-24,BBIOP2121-24,r_1.5_s_100_merge,>BBIOP2121-24_r_1.5_s_100_BBIOP2121-24_merge,3139949,XCN33691.1,subfamily:Melolonthinae,,990,null,1539,0.0,196.0,55.32,41.0,null,null,null,null,null,null
BBIOP2138-24_r_1.5_s_50_BBIOP2138-24,BBIOP2138-24,r_1.5_s_50_merge,>BBIOP2138-24_r_1.5_s_50_BBIOP2138-24_merge,190496,XCN33691.1,subfamily:Melolonthinae,,1322,null,1539,0.0,168.0,75.58,74.0,null,null,null,null,null,null
BBIOP2140-24_r_1.3_s_100_BBIOP2140-24,BBIOP2140-24,r_1.3_s_100_merge,>BBIOP2140-24_r_1.3_s_100_BBIOP2140-24_merge,2561399,XCN33691.1,subfamily:Melolonthinae,,50,null,1539,0.0,33.0,4.22,0.0,null,null,null,null,null,null
BBIOP2118-24_r_1.5_s_100_BBIOP2118-24,BBIOP2118-24,r_1.5_s_100_merge,>BBIOP2118-24_r_1.5_s_100_BBIOP2118-24_merge,1971888,XCN33691.1,subfamily:Melolonthinae,,171,null,1539,0.0,30.0,8.8,7.0,null,null,null,null,null,null
BBIOP2172-24_r_1_s_100_BBIOP2172-24,BBIOP2172-24,r_1_s_100_merge,>BBIOP2172-24_r_1_s_100_BBIOP2172-24_merge,465192,XCN33691.1,subfamily:Melolonthinae,,1057,null,1539,0.0,200.0,66.41,43.0,null,null,null,null,null,null
BBIOP2167-24_r_1_s_50_BBIOP2167-24,BBIOP2167-24,r_1_s_50_merge,>BBIOP2167-24_r_1_s_50_BBIOP2167-24_merge,190496,XCN33691.1,subfamily:Melolonthinae,,567,null,1539,0.0,160.0,39.05,34.0,null,null,null,null,null,null
