Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
BSCRO1087-25_r_1_s_100_BSCRO1087-25,BSCRO1087-25,r_1_s_100_merge,>BSCRO1087-25_r_1_s_100_BSCRO1087-25_merge,1765952,XCD10116.1,subfamily:Heteromurinae,,420,null,1536,0.0,69.0,45.36,44.0,null,null,null,null,null,null
BSCRO1069-25_r_1_s_100_BSCRO1069-25,BSCRO1069-25,r_1_s_100_merge,>BSCRO1069-25_r_1_s_100_BSCRO1069-25_merge,2768102,YP_010265401.1,family:Paronellidae,,1319,null,1533,0.0,174.0,131.95,131.0,null,null,null,null,null,null
BSCRO1126-25_r_1.3_s_100_BSCRO1126-25,BSCRO1126-25,r_1.3_s_100_merge,>BSCRO1126-25_r_1.3_s_100_BSCRO1126-25_merge,2772100,AJK28732.1,genus:Pseudosinella,,1928,null,1536,0.0,241.0,193.28,211.0,null,null,null,null,null,null
BSCRO1055-25_r_1_s_50_BSCRO1055-25,BSCRO1055-25,r_1_s_50_merge,>BSCRO1055-25_r_1_s_50_BSCRO1055-25_merge,2768102,YP_010265401.1,family:Paronellidae,,1230,null,1533,0.0,141.0,102.32,105.0,null,null,null,null,null,null
BSCRO1046-25_r_1.5_s_100_BSCRO1046-25,BSCRO1046-25,r_1.5_s_100_merge,>BSCRO1046-25_r_1.5_s_100_BSCRO1046-25_merge,2768102,YP_010265401.1,family:Paronellidae,,720,null,1533,0.0,100.0,70.99,76.0,null,null,null,null,null,null
BSCRO1111-25_r_1_s_50_BSCRO1111-25,BSCRO1111-25,r_1_s_50_merge,>BSCRO1111-25_r_1_s_50_BSCRO1111-25_merge,2768102,YP_010265401.1,family:Paronellidae,,1365,null,1533,0.0,163.0,89.63,88.0,null,null,null,null,null,null
BSCRO1052-25_r_1.3_s_50_BSCRO1052-25,BSCRO1052-25,r_1.3_s_50_merge,>BSCRO1052-25_r_1.3_s_50_BSCRO1052-25_merge,1765952,XCD10116.1,subfamily:Heteromurinae,,1276,null,1536,0.0,169.0,112.46,109.0,null,null,null,null,null,null
BSCRO1057-25_r_1.3_s_50_BSCRO1057-25,BSCRO1057-25,r_1.3_s_50_merge,>BSCRO1057-25_r_1.3_s_50_BSCRO1057-25_merge,2768102,YP_010265401.1,family:Paronellidae,,1130,null,1533,0.0,136.0,101.23,100.0,null,null,null,null,null,null
BSCRO1075-25_r_1_s_100_BSCRO1075-25,BSCRO1075-25,r_1_s_100_merge,>BSCRO1075-25_r_1_s_100_BSCRO1075-25_merge,1765952,XCD10116.1,subfamily:Heteromurinae,,936,null,1536,0.0,126.0,85.99,84.0,null,null,null,null,null,null
BSCRO1054-25_r_1.5_s_50_BSCRO1054-25,BSCRO1054-25,r_1.5_s_50_merge,>BSCRO1054-25_r_1.5_s_50_BSCRO1054-25_merge,1765952,XCD10116.1,subfamily:Heteromurinae,,1309,null,1536,0.0,161.0,131.47,134.0,null,null,null,null,null,null
