Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
BSCRO1040-25_r_1.3_s_100_BSCRO1040-25,BSCRO1040-25,r_1.3_s_100_merge,>BSCRO1040-25_r_1.3_s_100_BSCRO1040-25_merge,1765952,XCD10116.1,subfamily:Heteromurinae,,1455,null,1536,0.0,173.0,138.73,140.0,null,null,null,null,null,null
BSCRO1045-25_r_1.3_s_100_BSCRO1045-25,BSCRO1045-25,r_1.3_s_100_merge,>BSCRO1045-25_r_1.3_s_100_BSCRO1045-25_merge,1765952,XCD10116.1,subfamily:Heteromurinae,,16,null,1536,0.0,11.0,1.48,1.0,null,null,null,null,null,null
BSCRO997-25_r_1.5_s_50_BSCRO997-25,BSCRO997-25,r_1.5_s_50_merge,>BSCRO997-25_r_1.5_s_50_BSCRO997-25_merge,187632,UFX54039.1,subfamily:Onychiurinae,,856,null,1533,0.0,111.0,79.24,84.0,null,null,null,null,null,null
BSCRO1013-25_r_1.5_s_100_BSCRO1013-25,BSCRO1013-25,r_1.5_s_100_merge,>BSCRO1013-25_r_1.5_s_100_BSCRO1013-25_merge,1765952,XCD10116.1,subfamily:Heteromurinae,,1096,null,1536,0.0,134.0,108.8,112.0,null,null,null,null,null,null
BSCRO970-25_r_1.5_s_100_BSCRO970-25,BSCRO970-25,r_1.5_s_100_merge,>BSCRO970-25_r_1.5_s_100_BSCRO970-25_merge,1765952,XCD10116.1,subfamily:Heteromurinae,,986,null,1536,0.0,119.0,93.47,97.0,null,null,null,null,null,null
BSCRO980-25_r_1.5_s_50_BSCRO980-25,BSCRO980-25,r_1.5_s_50_merge,>BSCRO980-25_r_1.5_s_50_BSCRO980-25_merge,187632,UFX54039.1,subfamily:Onychiurinae,,1793,null,1533,0.0,236.0,169.65,165.0,null,null,null,null,null,null
BSCRO1004-25_r_1.3_s_50_BSCRO1004-25,BSCRO1004-25,r_1.3_s_50_merge,>BSCRO1004-25_r_1.3_s_50_BSCRO1004-25_merge,187632,UFX54039.1,subfamily:Onychiurinae,,1668,null,1533,48.0,207.0,148.7,155.0,null,null,null,null,null,null
BSCRO1040-25_r_1_s_50_BSCRO1040-25,BSCRO1040-25,r_1_s_50_merge,>BSCRO1040-25_r_1_s_50_BSCRO1040-25_merge,1765952,XCD10116.1,subfamily:Heteromurinae,,1800,null,1536,0.0,226.0,148.73,148.0,null,null,null,null,null,null
BSCRO972-25_r_1.3_s_100_BSCRO972-25,BSCRO972-25,r_1.3_s_100_merge,>BSCRO972-25_r_1.3_s_100_BSCRO972-25_merge,187632,UFX54039.1,subfamily:Onychiurinae,,3446,null,1533,5.0,435.0,361.85,363.0,null,null,null,null,null,null
BSCRO1005-25_r_1.5_s_50_BSCRO1005-25,BSCRO1005-25,r_1.5_s_50_merge,>BSCRO1005-25_r_1.5_s_50_BSCRO1005-25_merge,187632,UFX54039.1,subfamily:Onychiurinae,,3728,null,1533,2.0,488.0,363.48,367.0,null,null,null,null,null,null
BSCRO1001-25_r_1.5_s_50_BSCRO1001-25,BSCRO1001-25,r_1.5_s_50_merge,>BSCRO1001-25_r_1.5_s_50_BSCRO1001-25_merge,187632,UFX54039.1,subfamily:Onychiurinae,,192,null,1533,0.0,35.0,13.53,14.0,null,null,null,null,null,null
BSCRO999-25_r_1.5_s_100_BSCRO999-25,BSCRO999-25,r_1.5_s_100_merge,>BSCRO999-25_r_1.5_s_100_BSCRO999-25_merge,2768102,YP_010265401.1,family:Paronellidae,,1045,null,1533,0.0,156.0,112.86,120.0,null,null,null,null,null,null
