Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
UNIFI777-24_r_1_s_100_UNIFI777-24,UNIFI777-24,r_1_s_100_merge,>UNIFI777-24_r_1_s_100_UNIFI777-24_merge,878131,YP_010737648.1,family:Cantharidae,,4766,null,1554,0.0,1028.0,317.22,219.0,null,null,null,null,null,null
UNIFI763-24_r_1.3_s_100_UNIFI763-24,UNIFI763-24,r_1.3_s_100_merge,>UNIFI763-24_r_1.3_s_100_UNIFI763-24_merge,1710368,YP_010737648.1,subfamily:Cantharinae,,144,null,1554,0.0,19.0,6.68,6.5,null,null,null,null,null,null
UNIFI835-24_r_1.5_s_100_UNIFI835-24,UNIFI835-24,r_1.5_s_100_merge,>UNIFI835-24_r_1.5_s_100_UNIFI835-24_merge,1588237,YP_010737648.1,subfamily:Cantharinae,,607,null,1554,0.0,115.0,30.08,24.0,null,null,null,null,null,null
UNIFI817-24_r_1.5_s_100_UNIFI817-24,UNIFI817-24,r_1.5_s_100_merge,>UNIFI817-24_r_1.5_s_100_UNIFI817-24_merge,1553549,YP_010737648.1,family:Cantharidae,,9171,null,1554,0.0,1553.0,565.98,529.0,null,null,null,null,null,null
UNIFI773-24_r_1.5_s_100_UNIFI773-24,UNIFI773-24,r_1.5_s_100_merge,>UNIFI773-24_r_1.5_s_100_UNIFI773-24_merge,878131,YP_010737648.1,family:Cantharidae,,34,null,1554,0.0,11.0,1.56,1.0,null,null,null,null,null,null
UNIFI765-24_r_1.3_s_50_UNIFI765-24,UNIFI765-24,r_1.3_s_50_merge,>UNIFI765-24_r_1.3_s_50_UNIFI765-24_merge,433502,YP_010737648.1,subfamily:Cantharinae,,3487,null,1554,0.0,1386.0,118.03,53.5,null,null,null,null,null,null
UNIFI825-24_r_1_s_100_UNIFI825-24,UNIFI825-24,r_1_s_100_merge,>UNIFI825-24_r_1_s_100_UNIFI825-24_merge,1553549,YP_010737648.1,family:Cantharidae,,5603,null,1554,0.0,862.0,273.17,217.5,null,null,null,null,null,null
UNIFI855-24_r_1.3_s_100_UNIFI855-24,UNIFI855-24,r_1.3_s_100_merge,>UNIFI855-24_r_1.3_s_100_UNIFI855-24_merge,3027142,YP_010709578.1,genus:Rhagonycha,,15652,null,1539,422.0,2060.0,1022.99,976.0,null,null,null,null,null,null
UNIFI795-24_r_1.5_s_50_UNIFI795-24,UNIFI795-24,r_1.5_s_50_merge,>UNIFI795-24_r_1.5_s_50_UNIFI795-24_merge,261156,ARH54716.1,subfamily:Agrilinae,,7187,null,1542,0.0,2065.0,240.68,174.0,null,null,null,null,null,null
UNIFI836-24_r_1.5_s_50_UNIFI836-24,UNIFI836-24,r_1.5_s_50_merge,>UNIFI836-24_r_1.5_s_50_UNIFI836-24_merge,1588237,YP_010737648.1,subfamily:Cantharinae,,1014,null,1554,1.0,135.0,40.7,33.0,null,null,null,null,null,null
UNIFI832-24_r_1_s_100_UNIFI832-24,UNIFI832-24,r_1_s_100_merge,>UNIFI832-24_r_1_s_100_UNIFI832-24_merge,1553549,YP_010737648.1,family:Cantharidae,,1673,null,1554,0.0,213.0,98.49,95.0,null,null,null,null,null,null
UNIFI850-24_r_1.5_s_50_UNIFI850-24,UNIFI850-24,r_1.5_s_50_merge,>UNIFI850-24_r_1.5_s_50_UNIFI850-24_merge,3027142,YP_010709578.1,genus:Rhagonycha,,1566,null,1539,29.0,238.0,94.23,87.0,null,null,null,null,null,null
UNIFI774-24_r_1.5_s_50_UNIFI774-24,UNIFI774-24,r_1.5_s_50_merge,>UNIFI774-24_r_1.5_s_50_UNIFI774-24_merge,878131,YP_010737648.1,family:Cantharidae,,1690,null,1554,0.0,420.0,56.14,41.0,null,null,null,null,null,null
UNIFI769-24_r_1_s_50_UNIFI769-24,UNIFI769-24,r_1_s_50_merge,>UNIFI769-24_r_1_s_50_UNIFI769-24_merge,878131,YP_010737648.1,family:Cantharidae,,27842,null,1554,0.0,2236.0,1052.68,1019.5,null,null,null,null,null,null
UNIFI779-24_r_1.3_s_100_UNIFI779-24,UNIFI779-24,r_1.3_s_100_merge,>UNIFI779-24_r_1.3_s_100_UNIFI779-24_merge,1553549,YP_010737648.1,family:Cantharidae,,2488,null,1554,0.0,323.0,195.07,202.0,null,null,null,null,null,null
