,Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med,fasta_header
0,BBIOP3414-24_r_1.3_s_100_BBIOP3414-24,BBIOP3414-24,4371915,595,68,1533,19.0,108.0,73.04500978473581,74.0,>BBIOP3414-24_r_1.3_s_100_BBIOP3414-24
1,BBIOP3399-24_r_1.3_s_100_BBIOP3399-24,BBIOP3399-24,4846000,1366,285,1530,94.0,210.0,160.28039215686275,158.5,>BBIOP3399-24_r_1.3_s_100_BBIOP3399-24
2,BBIOP3374-24_r_1.5_s_50_BBIOP3374-24,BBIOP3374-24,4018419,289,236,1536,0.0,65.0,18.900390625,16.0,>BBIOP3374-24_r_1.5_s_50_BBIOP3374-24
3,BBIOP3389-24_r_1.5_s_100_BBIOP3389-24,BBIOP3389-24,7907395,1638,877,1533,118.0,227.0,170.2583170254403,170.0,>BBIOP3389-24_r_1.5_s_100_BBIOP3389-24
4,BBIOP3374-24_r_1.3_s_50_BBIOP3374-24,BBIOP3374-24,4018419,455,236,1536,1.0,74.0,27.935546875,24.0,>BBIOP3374-24_r_1.3_s_50_BBIOP3374-24
5,BBIOP3411-24_r_1_s_50_BBIOP3411-24,BBIOP3411-24,6873074,1238,500,1527,0.0,193.0,124.11787819253438,131.0,>BBIOP3411-24_r_1_s_50_BBIOP3411-24
6,BBIOP3340-24_r_1.5_s_50_BBIOP3340-24,BBIOP3340-24,5776889,1712,7,1530,100.0,246.0,151.11176470588236,154.0,>BBIOP3340-24_r_1.5_s_50_BBIOP3340-24
7,BBIOP3341-24_r_1.3_s_100_BBIOP3341-24,BBIOP3341-24,4581795,1083,14,1530,54.0,164.0,101.97647058823529,104.0,>BBIOP3341-24_r_1.3_s_100_BBIOP3341-24
8,BBIOP3326-24_r_1.3_s_100_BBIOP3326-24,BBIOP3326-24,5613091,49,492,1539,0.0,11.0,3.990253411306043,4.0,>BBIOP3326-24_r_1.3_s_100_BBIOP3326-24
9,BBIOP3410-24_r_1.5_s_100_BBIOP3410-24,BBIOP3410-24,4900473,2639,739,1530,222.0,414.0,311.34705882352944,307.0,>BBIOP3410-24_r_1.5_s_100_BBIOP3410-24
10,BBIOP3410-24_r_1_s_100_BBIOP3410-24,BBIOP3410-24,4900473,2670,739,1530,226.0,418.0,314.0843137254902,309.0,>BBIOP3410-24_r_1_s_100_BBIOP3410-24
11,BBIOP3375-24_r_1.5_s_50_BBIOP3375-24,BBIOP3375-24,3965585,1184,273,1536,0.0,194.0,101.65234375,101.0,>BBIOP3375-24_r_1.5_s_50_BBIOP3375-24
12,BBIOP3355-24_r_1.3_s_50_BBIOP3355-24,BBIOP3355-24,1349896,114,463,1533,0.0,44.0,9.632093933463796,6.0,>BBIOP3355-24_r_1.3_s_50_BBIOP3355-24
13,BBIOP3416-24_r_1_s_100_BBIOP3416-24,BBIOP3416-24,5962049,2110,773,1530,182.0,322.0,245.41372549019607,244.0,>BBIOP3416-24_r_1_s_100_BBIOP3416-24
14,BBIOP3382-24_r_1.5_s_100_BBIOP3382-24,BBIOP3382-24,1579260,786,156,1530,0.0,149.0,85.81176470588235,88.0,>BBIOP3382-24_r_1.5_s_100_BBIOP3382-24
15,BBIOP3387-24_r_1_s_50_BBIOP3387-24,BBIOP3387-24,5435972,2089,41,1530,89.0,485.0,187.1529411764706,164.0,>BBIOP3387-24_r_1_s_50_BBIOP3387-24
16,BBIOP3402-24_r_1.5_s_50_BBIOP3402-24,BBIOP3402-24,4121409,656,230,1530,45.0,110.0,66.52156862745097,67.0,>BBIOP3402-24_r_1.5_s_50_BBIOP3402-24
17,BBIOP3355-24_r_1_s_50_BBIOP3355-24,BBIOP3355-24,1349896,335,463,1533,0.0,94.0,31.69471624266145,31.0,>BBIOP3355-24_r_1_s_50_BBIOP3355-24
18,BBIOP3419-24_r_1_s_100_BBIOP3419-24,BBIOP3419-24,7380504,2802,2842,1527,0.0,488.0,214.86051080550095,213.0,>BBIOP3419-24_r_1_s_100_BBIOP3419-24
19,BBIOP3333-24_r_1_s_50_BBIOP3333-24,BBIOP3333-24,6917177,693,468,1536,0.0,89.0,45.798828125,43.0,>BBIOP3333-24_r_1_s_50_BBIOP3333-24
