Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BBIOP2677-24_r_1_s_100_BBIOP2677-24,BBIOP2677-24,2541411,47,23,1533,0.0,10.0,3.0782778864970646,2.0
BBIOP2745-24_r_1_s_50_BBIOP2745-24,BBIOP2745-24,7269236,1360,359,1533,1.0,169.0,66.25440313111547,61.0
BBIOP2735-24_r_1.5_s_100_BBIOP2735-24,BBIOP2735-24,6948727,988,22,1530,24.0,124.0,63.31764705882353,59.0
BBIOP2754-24_r_1_s_100_BBIOP2754-24,BBIOP2754-24,6363041,1216,170,1530,21.0,136.0,65.49607843137255,60.0
BBIOP2720-24_r_1_s_100_BBIOP2720-24,BBIOP2720-24,7662572,475,40,1530,5.0,56.0,27.05686274509804,27.0
BBIOP2730-24_r_1.5_s_50_BBIOP2730-24,BBIOP2730-24,7918029,1911,10,1530,78.0,191.0,138.77450980392157,141.0
BBIOP2729-24_r_1_s_100_BBIOP2729-24,BBIOP2729-24,7095987,1074,97,1530,23.0,132.0,59.266666666666666,57.0
BBIOP2677-24_r_1.3_s_100_BBIOP2677-24,BBIOP2677-24,2541411,45,23,1533,0.0,10.0,2.851272015655577,2.0
BBIOP2745-24_r_1.3_s_50_BBIOP2745-24,BBIOP2745-24,7269236,1288,359,1533,1.0,168.0,63.291585127201564,58.0
BGE00582-NC_r_1.3_s_50_BGE00582-NC,BGE00582-NC,1397765,120,281,1539,0.0,35.0,4.582846003898635,0.0
BBIOP2683-24_r_1.5_s_50_BBIOP2683-24,BBIOP2683-24,5581537,322,332,1536,0.0,76.0,14.474609375,8.0
BBIOP2665-24_r_1.5_s_50_BBIOP2665-24,BBIOP2665-24,4048465,41,238,1536,0.0,11.0,2.06640625,1.0
BBIOP2704-24_r_1.3_s_100_BBIOP2704-24,BBIOP2704-24,6562477,196,64,1536,0.0,50.0,12.26953125,9.0
BBIOP2748-24_r_1_s_100_BBIOP2748-24,BBIOP2748-24,5463294,2195,35,1533,1.0,240.0,151.9549902152642,144.0
BBIOP2745-24_r_1.5_s_100_BBIOP2745-24,BBIOP2745-24,7269236,701,359,1533,1.0,94.0,42.94911937377691,40.0
BBIOP2673-24_r_1.3_s_50_BBIOP2673-24,BBIOP2673-24,2124165,232,4,1536,0.0,31.0,10.79296875,10.0
BBIOP2685-24_r_1.3_s_50_BBIOP2685-24,BBIOP2685-24,5162208,2557,11,1551,1.0,260.0,162.56286266924565,168.0
BBIOP2682-24_r_1.3_s_50_BBIOP2682-24,BBIOP2682-24,1409598,100,38,1536,0.0,17.0,5.82421875,5.0
BBIOP2675-24_r_1_s_100_BBIOP2675-24,BBIOP2675-24,499458,48,61,1533,0.0,14.0,3.5694716242661446,2.0
BBIOP2709-24_r_1.3_s_50_BBIOP2709-24,BBIOP2709-24,6936314,1152,457,1533,0.0,136.0,71.98043052837573,65.0
BBIOP2749-24_r_1.3_s_100_BBIOP2749-24,BBIOP2749-24,5334651,842,234,1533,0.0,121.0,52.95303326810176,51.0
BBIOP2686-24_r_1.5_s_100_BBIOP2686-24,BBIOP2686-24,5469468,541,27,1530,0.0,73.0,32.115686274509805,33.0
BBIOP2731-24_r_1.3_s_100_BBIOP2731-24,BBIOP2731-24,5403906,1534,92,1530,41.0,135.0,100.86666666666666,101.0
BBIOP2748-24_r_1.3_s_100_BBIOP2748-24,BBIOP2748-24,5463294,2177,35,1533,1.0,240.0,150.4931506849315,142.0
BBIOP2710-24_r_1.5_s_100_BBIOP2710-24,BBIOP2710-24,5667083,1792,25,1533,0.0,201.0,108.92954990215264,107.0
BBIOP2727-24_r_1.5_s_100_BBIOP2727-24,BBIOP2727-24,7234776,1763,36,1530,0.0,163.0,114.79803921568627,114.0
BBIOP2674-24_r_1_s_100_BBIOP2674-24,BBIOP2674-24,6898869,978,236,1536,0.0,123.0,58.669921875,53.0
BBIOP2739-24_r_1_s_50_BBIOP2739-24,BBIOP2739-24,7754033,411,408,1533,5.0,66.0,20.859099804305284,17.0
BBIOP2664-24_r_1.3_s_100_BBIOP2664-24,BBIOP2664-24,1444089,17,4,1536,0.0,4.0,1.1953125,1.0
