ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	marker_code	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	group_id	r	s
37	79	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	654	1509	Braconidae	BGLIB666-24_r_1_s_50	Bracon abbreviator	0	BGLIB666-24	1	50
44	74	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	645	1458	Braconidae	BGLIB666-24_r_1_s_100	Bracon abbreviator	0	BGLIB666-24	1	100
12	12	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	631	1467	Braconidae	BGLIB666-24_r_1.3_s_50	Bracon abbreviator	0	BGLIB666-24	1.3	50
14	14	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	646	1452	Braconidae	BGLIB666-24_r_1.3_s_100	Bracon abbreviator	0	BGLIB666-24	1.3	100
3	3	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	532	1338	Braconidae	BGLIB666-24_r_1.5_s_50	Bracon abbreviator	0	BGLIB666-24	1.5	50
3	3	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	481	1263	Braconidae	BGLIB666-24_r_1.5_s_100	Bracon abbreviator	0	BGLIB666-24	1.5	100
34	93	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	655	1515	Braconidae,Ichneumonidae	BGLIB667-24_r_1_s_50	Bracon conjugellae	0	BGLIB667-24	1	50
17	65	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	625	1461	Braconidae,Ichneumonidae	BGLIB667-24_r_1_s_100	Bracon conjugellae	0	BGLIB667-24	1	100
14	19	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	652	1503	Braconidae,Ichneumonidae	BGLIB667-24_r_1.3_s_50	Bracon conjugellae	0	BGLIB667-24	1.3	50
15	23	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	625	1398	Braconidae,Ichneumonidae	BGLIB667-24_r_1.3_s_100	Bracon conjugellae	0	BGLIB667-24	1.3	100
8	12	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	520	1275	Braconidae,Ichneumonidae	BGLIB667-24_r_1.5_s_50	Bracon conjugellae	0	BGLIB667-24	1.5	50
7	16	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	493	1209	Braconidae,Ichneumonidae	BGLIB667-24_r_1.5_s_100	Bracon conjugellae	0	BGLIB667-24	1.5	100
0	13	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	655	1533	Braconidae	BGLIB668-24_r_1_s_50	Bracon crassiceps	0	BGLIB668-24	1	50
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	655	1509	Braconidae	BGLIB668-24_r_1_s_100	Bracon crassiceps	0	BGLIB668-24	1	100
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	655	1509	Braconidae	BGLIB668-24_r_1.3_s_50	Bracon crassiceps	0	BGLIB668-24	1.3	50
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	655	1509	Braconidae	BGLIB668-24_r_1.3_s_100	Bracon crassiceps	0	BGLIB668-24	1.3	100
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	601	1455	Braconidae	BGLIB668-24_r_1.5_s_50	Bracon crassiceps	0	BGLIB668-24	1.5	50
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	598	1452	Braconidae	BGLIB668-24_r_1.5_s_100	Bracon crassiceps	0	BGLIB668-24	1.5	100
35	103	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	654	1536	Tettigoniidae,Acrididae,Nitidulidae,Curculionidae,Bostrichidae,Ptinidae,Vespidae,Tetracampidae	BGLIB669-24_r_1_s_50	Bracon curticaudis	0	BGLIB669-24	1	50
12	66	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	638	1449	Tettigoniidae,Acrididae,Reduviidae,Curculionidae,Bostrichidae,Ptinidae,Vespidae	BGLIB669-24_r_1_s_100	Bracon curticaudis	0	BGLIB669-24	1	100
12	34	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	654	1527	Braconidae	BGLIB669-24_r_1.3_s_50	Bracon curticaudis	0	BGLIB669-24	1.3	50
5	10	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	636	1449	Acrididae,Cicadellidae,Syrphidae,Ephydridae,Braconidae,Ichneumonidae	BGLIB669-24_r_1.3_s_100	Bracon curticaudis	0	BGLIB669-24	1.3	100
6	10	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	567	1302	Culicidae,Syrphidae,Drosophilidae,Tephritidae	BGLIB669-24_r_1.5_s_50	Bracon curticaudis	0	BGLIB669-24	1.5	50
4	8	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	567	1248	Acrididae,Reduviidae,Braconidae	BGLIB669-24_r_1.5_s_100	Bracon curticaudis	0	BGLIB669-24	1.5	100
1	15	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	655	1506	Braconidae	BGLIB670-24_r_1_s_50	Bracon delibator	0	BGLIB670-24	1	50
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1503	Braconidae	BGLIB670-24_r_1_s_100	Bracon delibator	0	BGLIB670-24	1	100
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1488	Braconidae	BGLIB670-24_r_1.3_s_50	Bracon delibator	0	BGLIB670-24	1.3	50
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1458	Braconidae	BGLIB670-24_r_1.3_s_100	Bracon delibator	0	BGLIB670-24	1.3	100
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	623	1368	Braconidae	BGLIB670-24_r_1.5_s_50	Bracon delibator	0	BGLIB670-24	1.5	50
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	623	1368	Braconidae	BGLIB670-24_r_1.5_s_100	Bracon delibator	0	BGLIB670-24	1.5	100
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	655	1521	Braconidae	BGLIB671-24_r_1_s_50	Bracon erraticus	0	BGLIB671-24	1	50
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	655	1506	Braconidae	BGLIB671-24_r_1_s_100	Bracon erraticus	0	BGLIB671-24	1	100
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	655	1521	Braconidae	BGLIB671-24_r_1.3_s_50	Bracon erraticus	0	BGLIB671-24	1.3	50
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	655	1506	Braconidae	BGLIB671-24_r_1.3_s_100	Bracon erraticus	0	BGLIB671-24	1.3	100
0	0	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	577	1398	Braconidae	BGLIB671-24_r_1.5_s_50	Bracon erraticus	0	BGLIB671-24	1.5	50
1	1	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	568	1389	Braconidae	BGLIB671-24_r_1.5_s_100	Bracon erraticus	0	BGLIB671-24	1.5	100
33	62	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	606	1377	Braconidae,Geometridae	BGLIB672-24_r_1_s_50	Bracon exarator	0	BGLIB672-24	1	50
28	47	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	537	1218	Braconidae,Geometridae	BGLIB672-24_r_1_s_100	Bracon exarator	0	BGLIB672-24	1	100
19	19	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	371	990	Braconidae	BGLIB672-24_r_1.3_s_50	Bracon exarator	0	BGLIB672-24	1.3	50
15	21	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	363	840	Braconidae	BGLIB672-24_r_1.3_s_100	Bracon exarator	0	BGLIB672-24	1.3	100
2	3	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	205	744	Culicidae,Braconidae	BGLIB672-24_r_1.5_s_50	Bracon exarator	0	BGLIB672-24	1.5	50
0	1	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	173	525	Culicidae,Braconidae,Ichneumonidae,Limacodidae,Erebidae,Nymphalidae,Pyralidae	BGLIB672-24_r_1.5_s_100	Bracon exarator	0	BGLIB672-24	1.5	100
15	28	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	433	1242	Carabidae,Helophoridae,Meloidae,Mydidae	BGLIB673-24_r_1_s_50	Bracon exhilarator	0	BGLIB673-24	1	50
9	18	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	330	972	Mydidae,Megalodontesidae,Coniopterygidae	BGLIB673-24_r_1_s_100	Bracon exhilarator	0	BGLIB673-24	1	100
8	18	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	360	912	Tingidae,Chrysomelidae,Dolichopodidae,Argidae,Tortricidae,Lycaenidae,Nymphalidae	BGLIB673-24_r_1.3_s_50	Bracon exhilarator	0	BGLIB673-24	1.3	50
6	17	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	269	723	Kalotermitidae,Termitidae,Notonectidae,Naucoridae,Tingidae,Pentatomidae,Athericidae,Crambidae	BGLIB673-24_r_1.3_s_100	Bracon exhilarator	0	BGLIB673-24	1.3	100
2	7	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	159	498	Libellulidae,Tingidae,Pentatomidae,Crambidae	BGLIB673-24_r_1.5_s_50	Bracon exhilarator	4	BGLIB673-24	1.5	50
0	6	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	119	366	Termitidae,Naucoridae,Tingidae,Pentatomidae,Elmidae,Curculionidae,Dolichopodidae,Sarcophagidae	BGLIB673-24_r_1.5_s_100	Bracon exhilarator	0	BGLIB673-24	1.5	100
6	21	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	633	1446	Braconidae	BGLIB674-24_r_1_s_50	Bracon flavipes	0	BGLIB674-24	1	50
11	24	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	417	1185	Braconidae,Noctuidae,Geometridae	BGLIB674-24_r_1_s_100	Bracon flavipes	0	BGLIB674-24	1	100
1	2	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	604	1398	Braconidae	BGLIB674-24_r_1.3_s_50	Bracon flavipes	0	BGLIB674-24	1.3	50
3	4	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	417	930	Culicidae,Braconidae,Tortricidae,Noctuidae,Geometridae	BGLIB674-24_r_1.3_s_100	Bracon flavipes	0	BGLIB674-24	1.3	100
0	1	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	487	1152	Braconidae,Formicidae	BGLIB674-24_r_1.5_s_50	Bracon flavipes	0	BGLIB674-24	1.5	50
0	1	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	333	765	Braconidae,Noctuidae,Geometridae	BGLIB674-24_r_1.5_s_100	Bracon flavipes	0	BGLIB674-24	1.5	100
38	73	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	633	1386	Braconidae,Nevrorthidae	BGLIB675-24_r_1_s_50	Bracon immutator	0	BGLIB675-24	1	50
25	42	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	531	1278	Tettigoniidae,Nitidulidae,Curculionidae,Bostrichidae,Ptinidae,Ulidiidae,Vespidae,Tetracampidae	BGLIB675-24_r_1_s_100	Bracon immutator	0	BGLIB675-24	1	100
38	47	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	627	1260	Syrphidae,Tephritidae,Braconidae	BGLIB675-24_r_1.3_s_50	Bracon immutator	0	BGLIB675-24	1.3	50
29	30	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	495	945	Tettigoniidae,Syrphidae,Ulidiidae,Braconidae,Vespidae	BGLIB675-24_r_1.3_s_100	Bracon immutator	4	BGLIB675-24	1.3	100
9	10	data/BGE00408_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	355	927	Miridae,Braconidae,Lycaenidae,Geometridae	BGLIB675-24_r_1.5_s_50	Bracon immutator	0	BGLIB675-24	1.5	50
