ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	marker_code	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons
1	2	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	641	1518	Braconidae	BGENL1046-24_r_1_s_50	Blacus paganus	0
1	10	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	623	1458	Braconidae	BGENL1046-24_r_1_s_100	Blacus paganus	0
1	2	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	641	1299	Braconidae	BGENL1046-24_r_1.3_s_50	Blacus paganus	0
1	2	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	623	1239	Braconidae	BGENL1046-24_r_1.3_s_100	Blacus paganus	0
0	1	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	453	1026	Braconidae	BGENL1046-24_r_1.5_s_50	Blacus paganus	0
0	1	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	432	963	Braconidae	BGENL1046-24_r_1.5_s_100	Blacus paganus	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	657	1533	Braconidae	BGENL1047-24_r_1_s_50	Blacus paganus	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	657	1533	Braconidae	BGENL1047-24_r_1_s_100	Blacus paganus	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	657	1476	Braconidae	BGENL1047-24_r_1.3_s_50	Blacus paganus	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	657	1425	Braconidae	BGENL1047-24_r_1.3_s_100	Blacus paganus	0
0	3	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	657	1383	Braconidae	BGENL1047-24_r_1.5_s_50	Blacus paganus	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	654	1371	Braconidae	BGENL1047-24_r_1.5_s_100	Blacus paganus	0
31	65	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	548	1386	Hydrophilidae,Scarabaeidae,Melyridae,Cerambycidae,Braconidae,Prodoxidae	BGENL1048-24_r_1_s_50	Blacus paganus	3
37	46	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	407	1281	Encyrtidae	BGENL1048-24_r_1_s_100	Blacus paganus	0
0	1	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	158	804	Braconidae,Pteromalidae,Nymphalidae	BGENL1048-24_r_1.3_s_50	Blacus paganus	0
0	1	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	135	693	Braconidae	BGENL1048-24_r_1.3_s_100	Blacus paganus	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	433	495	Braconidae,Lycaenidae	BGENL1048-24_r_1.5_s_50	Blacus paganus	5
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	383	423	Braconidae,Lycaenidae	BGENL1048-24_r_1.5_s_100	Blacus paganus	8
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1527	Braconidae	BGENL1049-24_r_1_s_50	Blacus pallipes	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1527	Braconidae	BGENL1049-24_r_1_s_100	Blacus pallipes	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1488	Braconidae	BGENL1049-24_r_1.3_s_50	Blacus pallipes	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1416	Braconidae	BGENL1049-24_r_1.3_s_100	Blacus pallipes	0
0	1	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	497	1197	Braconidae,Diapriidae	BGENL1049-24_r_1.5_s_50	Blacus pallipes	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	431	1131	Braconidae,Diapriidae	BGENL1049-24_r_1.5_s_100	Blacus pallipes	0
16	56	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	560	1356	Cerambycidae,Curculionidae,Limnephilidae,Brachycentridae	BGENL1050-24_r_1_s_50	Blacus pallipes	0
16	46	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	544	1269	Libellulidae,Teloganodidae,Nemouridae,Cerambycidae	BGENL1050-24_r_1_s_100	Blacus pallipes	0
12	26	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	375	996	Hodotermitidae,Cerambycidae,Curculionidae,Limnephilidae,Brachycentridae	BGENL1050-24_r_1.3_s_50	Blacus pallipes	0
12	22	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	173	699	Termitidae,Hodotermitidae,Asilidae	BGENL1050-24_r_1.3_s_100	Blacus pallipes	0
8	16	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	82	345	Formicidae	BGENL1050-24_r_1.5_s_50	Blacus pallipes	0
8	8	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	76	132		BGENL1050-24_r_1.5_s_100	Blacus pallipes	0
33	76	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	655	1494	Braconidae	BGENL1051-24_r_1_s_50	Blacus pallipes	0
13	53	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	655	1476	Braconidae,Prodoxidae	BGENL1051-24_r_1_s_100	Blacus pallipes	0
15	24	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	625	1356	Braconidae	BGENL1051-24_r_1.3_s_50	Blacus pallipes	0
12	19	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	625	1338	Braconidae	BGENL1051-24_r_1.3_s_100	Blacus pallipes	0
3	5	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	440	1125	Braconidae	BGENL1051-24_r_1.5_s_50	Blacus pallipes	0
5	5	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	404	1023	Syrphidae,Braconidae	BGENL1051-24_r_1.5_s_100	Blacus pallipes	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1527	Braconidae	BGENL1052-24_r_1_s_50	Blacus rufescens	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1527	Braconidae	BGENL1052-24_r_1_s_100	Blacus rufescens	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1512	Braconidae	BGENL1052-24_r_1.3_s_50	Blacus rufescens	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1512	Braconidae	BGENL1052-24_r_1.3_s_100	Blacus rufescens	0
1	2	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	551	1296	Braconidae,Gasteruptiidae	BGENL1052-24_r_1.5_s_50	Blacus rufescens	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	539	1224	Braconidae,Gasteruptiidae	BGENL1052-24_r_1.5_s_100	Blacus rufescens	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1527	Braconidae	BGENL1053-24_r_1_s_50	Blacus rufescens	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1527	Braconidae	BGENL1053-24_r_1_s_100	Blacus rufescens	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1518	Braconidae	BGENL1053-24_r_1.3_s_50	Blacus rufescens	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	656	1518	Braconidae	BGENL1053-24_r_1.3_s_100	Blacus rufescens	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	584	1362	Braconidae,Torymidae	BGENL1053-24_r_1.5_s_50	Blacus rufescens	0
0	0	data/BGE00179_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Braconidae	BLAST	family	COI-5P	584	1296	Braconidae	BGENL1053-24_r_1.5_s_100	Blacus rufescens	0
