ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	marker_code	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Scarabaeidae	BLAST	family	COI-5P	657	1545	Scarabaeidae	BBIOP2376-24_r_1_s_50	Onthophagus fissicornis	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Scarabaeidae	BLAST	family	COI-5P	657	1545	Scarabaeidae	BBIOP2376-24_r_1_s_100	Onthophagus fissicornis	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Scarabaeidae	BLAST	family	COI-5P	657	1545	Scarabaeidae	BBIOP2376-24_r_1.3_s_50	Onthophagus fissicornis	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Scarabaeidae	BLAST	family	COI-5P	657	1545	Scarabaeidae	BBIOP2376-24_r_1.3_s_100	Onthophagus fissicornis	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Scarabaeidae	BLAST	family	COI-5P	657	1545	Scarabaeidae	BBIOP2376-24_r_1.5_s_50	Onthophagus fissicornis	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Scarabaeidae	BLAST	family	COI-5P	657	1545	Scarabaeidae	BBIOP2376-24_r_1.5_s_100	Onthophagus fissicornis	0
103	262	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Trogidae	BLAST	family	COI-5P	656	1530	Sciaridae,Phoridae,Tachinidae	BBIOP2377-24_r_1_s_50	Trox fabricii	0
75	222	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Trogidae	BLAST	family	COI-5P	656	1473	Sciaridae,Culicidae,Muscidae,Calliphoridae,Tachinidae	BBIOP2377-24_r_1_s_100	Trox fabricii	0
47	147	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Trogidae	BLAST	family	COI-5P	656	1530	Sciaridae,Culicidae,Anthomyiidae,Calliphoridae	BBIOP2377-24_r_1.3_s_50	Trox fabricii	0
31	105	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Trogidae	BLAST	family	COI-5P	657	1470	Carabidae,Staphylinidae,Sciaridae,Limoniidae,Calliphoridae	BBIOP2377-24_r_1.3_s_100	Trox fabricii	0
28	77	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Trogidae	BLAST	family	COI-5P	657	1530	Carabidae,Leiodidae,Hydraenidae,Scarabaeidae,Trogidae,Drosophilidae,Muscidae,Calliphoridae	BBIOP2377-24_r_1.5_s_50	Trox fabricii	0
27	77	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Trogidae	BLAST	family	COI-5P	657	1461	Carabidae,Hydraenidae,Prionoceridae,Chironomidae	BBIOP2377-24_r_1.5_s_100	Trox fabricii	0
0	10	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Trogidae	BLAST	family	COI-5P	656	1530	Staphylinidae,Scarabaeidae,Trogidae	BBIOP2378-24_r_1_s_50	Trox fabricii	0
1	6	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Trogidae	BLAST	family	COI-5P	656	1530	Staphylinidae,Scarabaeidae,Trogidae,Geotrupidae	BBIOP2378-24_r_1_s_100	Trox fabricii	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Trogidae	BLAST	family	COI-5P	656	1530	Staphylinidae,Hydraenidae,Scarabaeidae,Trogidae,Geotrupidae	BBIOP2378-24_r_1.3_s_50	Trox fabricii	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Trogidae	BLAST	family	COI-5P	656	1530	Staphylinidae,Hydraenidae,Scarabaeidae,Trogidae,Geotrupidae	BBIOP2378-24_r_1.3_s_100	Trox fabricii	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Trogidae	BLAST	family	COI-5P	656	1530	Staphylinidae,Hydraenidae,Scarabaeidae,Trogidae,Geotrupidae	BBIOP2378-24_r_1.5_s_50	Trox fabricii	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Trogidae	BLAST	family	COI-5P	656	1530	Staphylinidae,Hydraenidae,Scarabaeidae,Trogidae,Geotrupidae	BBIOP2378-24_r_1.5_s_100	Trox fabricii	0
4	15	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	650	1485	Staphylinidae,Scarabaeidae,Hybosoridae,Tenebrionidae,Curculionidae	BBIOP2379-24_r_1_s_50	Glaresis hispana	0
1	11	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	516	1401	Termitidae,Notonemouridae,Tenebrionidae,Myrmeleontidae	BBIOP2379-24_r_1_s_100	Glaresis hispana	0
0	13	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	387	1098	Termitidae,Notonemouridae,Tenebrionidae	BBIOP2379-24_r_1.3_s_50	Glaresis hispana	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	177	834	Hydrophilidae,Lampyridae,Tenebrionidae,Psychodidae	BBIOP2379-24_r_1.3_s_100	Glaresis hispana	0
0	3	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	249	867	Staphylinidae,Hydraenidae,Trogidae,Tenebrionidae	BBIOP2379-24_r_1.5_s_50	Glaresis hispana	0
0	4	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	71	552	Staphylinidae,Hydraenidae,Trogidae,Tenebrionidae	BBIOP2379-24_r_1.5_s_100	Glaresis hispana	0
0	1	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	657	1551	Staphylinidae,Hydraenidae,Scarabaeidae,Glaresidae	BBIOP2380-24_r_1_s_50	Glaresis rufa	0
0	1	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	657	1551	Staphylinidae,Hydraenidae,Scarabaeidae,Glaresidae	BBIOP2380-24_r_1_s_100	Glaresis rufa	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	657	1551	Staphylinidae,Hydraenidae,Scarabaeidae,Glaresidae	BBIOP2380-24_r_1.3_s_50	Glaresis rufa	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	657	1551	Staphylinidae,Hydraenidae,Scarabaeidae,Glaresidae	BBIOP2380-24_r_1.3_s_100	Glaresis rufa	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	657	1551	Staphylinidae,Hydraenidae,Scarabaeidae,Glaresidae	BBIOP2380-24_r_1.5_s_50	Glaresis rufa	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	657	1551	Staphylinidae,Hydraenidae,Scarabaeidae,Glaresidae	BBIOP2380-24_r_1.5_s_100	Glaresis rufa	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	657	1551	Staphylinidae,Hydraenidae,Scarabaeidae,Glaresidae	BBIOP2381-24_r_1_s_50	Glaresis rufa	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	657	1551	Staphylinidae,Hydraenidae,Scarabaeidae,Glaresidae	BBIOP2381-24_r_1_s_100	Glaresis rufa	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	657	1551	Staphylinidae,Hydraenidae,Scarabaeidae,Glaresidae	BBIOP2381-24_r_1.3_s_50	Glaresis rufa	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	657	1551	Staphylinidae,Hydraenidae,Scarabaeidae,Glaresidae	BBIOP2381-24_r_1.3_s_100	Glaresis rufa	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	657	1551	Staphylinidae,Hydraenidae,Scarabaeidae,Glaresidae	BBIOP2381-24_r_1.5_s_50	Glaresis rufa	0
0	0	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Glaresidae	BLAST	family	COI-5P	657	1551	Staphylinidae,Hydraenidae,Scarabaeidae,Glaresidae	BBIOP2381-24_r_1.5_s_100	Glaresis rufa	0
17	56	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Scarabaeidae	BLAST	family	COI-5P	656	1533	Hydrophilidae,Scarabaeidae	BBIOP2382-24_r_1_s_50	Hybalus benoiti	0
35	68	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Scarabaeidae	BLAST	family	COI-5P	609	1329	Scarabaeidae	BBIOP2382-24_r_1_s_100	Hybalus benoiti	0
11	19	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Scarabaeidae	BLAST	family	COI-5P	651	1503	Staphylinidae,Hydraenidae,Scarabaeidae	BBIOP2382-24_r_1.3_s_50	Hybalus benoiti	0
2	5	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Scarabaeidae	BLAST	family	COI-5P	557	1200	Staphylinidae,Scarabaeidae,Hybosoridae,Buprestidae,Muscidae	BBIOP2382-24_r_1.3_s_100	Hybalus benoiti	0
1	2	data/BGE00105_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Scarabaeidae	BLAST	family	COI-5P	624	1413	Scarabaeidae	BBIOP2382-24_r_1.5_s_50	Hybalus benoiti	0
