ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	marker_code	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	group_id	r	s
21	60	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pseudocerotidae	BLAST	family	COI-5P	448	1176	Pseudocerotidae	MUSBA3379-25_r_1_s_50	Pseudoceros	0	MUSBA3379-25	1	50
29	69	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pseudocerotidae	BLAST	family	COI-5P	226	954	Pseudocerotidae	MUSBA3379-25_r_1_s_100	Pseudoceros	0	MUSBA3379-25	1	100
0	25	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pseudocerotidae	BLAST	family	COI-5P	160	831	Pseudocerotidae,Pericelidae,Nematoplanidae	MUSBA3379-25_r_1.3_s_50	Pseudoceros	0	MUSBA3379-25	1.3	50
0	8	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pseudocerotidae	BLAST	family	COI-5P	145	729	Pseudocerotidae,Pericelidae,Prosthiostomidae,Nematoplanidae	MUSBA3379-25_r_1.3_s_100	Pseudoceros	0	MUSBA3379-25	1.3	100
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pseudocerotidae	BLAST	family	COI-5P	144	414	Pseudocerotidae,Prosthiostomidae	MUSBA3379-25_r_1.5_s_50	Pseudoceros	0	MUSBA3379-25	1.5	50
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pseudocerotidae	BLAST	family	COI-5P	145	366	Pseudocerotidae,Prosthiostomidae	MUSBA3379-25_r_1.5_s_100	Pseudoceros	0	MUSBA3379-25	1.5	100
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Euryleptidae	BLAST	family	COI-5P	655	1542	Pseudocerotidae,Prosthiostomidae,Geoplanidae	MUSBA3380-25_r_1_s_50	Euryleptidae	0	MUSBA3380-25	1	50
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Euryleptidae	BLAST	family	COI-5P	655	1527	Pseudocerotidae,Prosthiostomidae,Geoplanidae	MUSBA3380-25_r_1_s_100	Euryleptidae	0	MUSBA3380-25	1	100
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Euryleptidae	BLAST	family	COI-5P	655	1509	Pseudocerotidae,Prosthiostomidae,Geoplanidae	MUSBA3380-25_r_1.3_s_50	Euryleptidae	0	MUSBA3380-25	1.3	50
0	1	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Euryleptidae	BLAST	family	COI-5P	655	1509	Pseudocerotidae,Prosthiostomidae,Geoplanidae	MUSBA3380-25_r_1.3_s_100	Euryleptidae	0	MUSBA3380-25	1.3	100
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Euryleptidae	BLAST	family	COI-5P	541	1305	Pseudocerotidae,Prosthiostomidae,Geoplanidae	MUSBA3380-25_r_1.5_s_50	Euryleptidae	0	MUSBA3380-25	1.5	50
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Euryleptidae	BLAST	family	COI-5P	499	1263	Pseudocerotidae,Prosthiostomidae,Geoplanidae	MUSBA3380-25_r_1.5_s_100	Euryleptidae	0	MUSBA3380-25	1.5	100
13	18	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pseudocerotidae	BLAST	family	COI-5P	655	1530	Pseudocerotidae,Prosthiostomidae	MUSBA3381-25_r_1_s_50	Pseudoceros paralaticlavus	6	MUSBA3381-25	1	50
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pseudocerotidae	BLAST	family	COI-5P	655	1530	Pseudocerotidae,Prosthiostomidae	MUSBA3381-25_r_1_s_100	Pseudoceros paralaticlavus	7	MUSBA3381-25	1	100
4	12	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pseudocerotidae	BLAST	family	COI-5P	640	1473	Pseudocerotidae,Prosthiostomidae	MUSBA3381-25_r_1.3_s_50	Pseudoceros paralaticlavus	0	MUSBA3381-25	1.3	50
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pseudocerotidae	BLAST	family	COI-5P	595	1407	Pseudocerotidae,Prosthiostomidae	MUSBA3381-25_r_1.3_s_100	Pseudoceros paralaticlavus	0	MUSBA3381-25	1.3	100
0	11	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pseudocerotidae	BLAST	family	COI-5P	168	1098	Pseudocerotidae,Prosthiostomidae,Geoplanidae	MUSBA3381-25_r_1.5_s_50	Pseudoceros paralaticlavus	0	MUSBA3381-25	1.5	50
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pseudocerotidae	BLAST	family	COI-5P	210	972	Pseudocerotidae,Prosthiostomidae,Geoplanidae	MUSBA3381-25_r_1.5_s_100	Pseudoceros paralaticlavus	0	MUSBA3381-25	1.5	100
0	3	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Euryleptidae	BLAST	family	COI-5P	656	1548	Prosthiostomidae,Notoplanidae,Geoplanidae	MUSBA3382-25_r_1_s_50	Euryleptidae	0	MUSBA3382-25	1	50
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Euryleptidae	BLAST	family	COI-5P	656	1548	Euryleptidae,Prosthiostomidae,Notoplanidae,Geoplanidae	MUSBA3382-25_r_1_s_100	Euryleptidae	0	MUSBA3382-25	1	100
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Euryleptidae	BLAST	family	COI-5P	656	1548	Euryleptidae,Prosthiostomidae,Notoplanidae,Geoplanidae	MUSBA3382-25_r_1.3_s_50	Euryleptidae	0	MUSBA3382-25	1.3	50
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Euryleptidae	BLAST	family	COI-5P	656	1548	Euryleptidae,Prosthiostomidae,Notoplanidae,Geoplanidae	MUSBA3382-25_r_1.3_s_100	Euryleptidae	0	MUSBA3382-25	1.3	100
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Euryleptidae	BLAST	family	COI-5P	656	1548	Euryleptidae,Prosthiostomidae,Notoplanidae,Geoplanidae	MUSBA3382-25_r_1.5_s_50	Euryleptidae	0	MUSBA3382-25	1.5	50
0	0	data/BGE00142_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Euryleptidae	BLAST	family	COI-5P	656	1548	Euryleptidae,Prosthiostomidae,Notoplanidae,Geoplanidae	MUSBA3382-25_r_1.5_s_100	Euryleptidae	0	MUSBA3382-25	1.5	100
