ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	marker_code	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	group_id	r	s	fcleaner	merge
29	47	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	654	1470	Dermestidae,Bostrichidae,Psychodidae,Vespidae,Apidae,Andrenidae,Tetracampidae	BGENL1806-24_r_1_s_50	Panurginus brullei	0	BGENL1806-24	1	50	False	False
17	26	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	622	1404	Curculionidae,Dermestidae,Bostrichidae,Ptinidae,Vespidae,Andrenidae,Tetracampidae	BGENL1806-24_r_1_s_100	Panurginus brullei	0	BGENL1806-24	1	100	False	False
10	18	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	567	1158	Andrenidae	BGENL1806-24_r_1.3_s_50	Panurginus brullei	0	BGENL1806-24	1.3	50	False	False
16	35	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	347	945	Andrenidae	BGENL1806-24_r_1.3_s_100	Panurginus brullei	0	BGENL1806-24	1.3	100	False	False
15	15	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	799	876	Andrenidae	BGENL1806-24_r_1.5_s_50	Panurginus brullei	2	BGENL1806-24	1.5	50	False	False
8	8	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	664	738	Andrenidae	BGENL1806-24_r_1.5_s_100	Panurginus brullei	2	BGENL1806-24	1.5	100	False	False
31	71	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	656	1542	Andrenidae	BGENL1807-24_r_1_s_50	Panurginus brullei	0	BGENL1807-24	1	50	False	False
31	64	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	656	1485	Andrenidae	BGENL1807-24_r_1_s_100	Panurginus brullei	0	BGENL1807-24	1	100	False	False
6	18	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	656	1419	Apidae,Andrenidae,Halictidae,Megachilidae	BGENL1807-24_r_1.3_s_50	Panurginus brullei	0	BGENL1807-24	1.3	50	False	False
6	14	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	656	1404	Andrenidae	BGENL1807-24_r_1.3_s_100	Panurginus brullei	0	BGENL1807-24	1.3	100	False	False
6	8	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	656	1368	Apidae,Andrenidae	BGENL1807-24_r_1.5_s_50	Panurginus brullei	0	BGENL1807-24	1.5	50	False	False
7	9	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	656	1368	Apidae,Andrenidae	BGENL1807-24_r_1.5_s_100	Panurginus brullei	0	BGENL1807-24	1.5	100	False	False
12	41	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	537	1341	Apidae,Halictidae	BGENL1808-24_r_1_s_50	Panurginus brullei	0	BGENL1808-24	1	50	False	False
41	66	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	543	1221	Andrenidae,Halictidae,Megachilidae	BGENL1808-24_r_1_s_100	Panurginus brullei	0	BGENL1808-24	1	100	False	False
2	4	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	533	1095	Andrenidae	BGENL1808-24_r_1.3_s_50	Panurginus brullei	0	BGENL1808-24	1.3	50	False	False
1	1	data/BGE00182_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Andrenidae	BLAST	family	COI-5P	431	975	Blaberidae,Chrysomelidae,Curculionidae,Andrenidae,Halictidae,Megachilidae,Colletidae	BGENL1808-24_r_1.3_s_100	Panurginus brullei	0	BGENL1808-24	1.3	100	False	False
