Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BGSNL359-23_r_1.3_s_50_BGSNL359-23,BGSNL359-23,1793688,145,13,1533,0.0,16.0,6.414872798434442,6.0
BGSNL335-23_r_1.5_s_50_BGSNL335-23,BGSNL335-23,27621457,6025,75,1533,126.0,670.0,289.56360078277885,274.0
BGSNL356-23_r_1.5_s_100_BGSNL356-23,BGSNL356-23,1693354,114,312,1533,0.0,42.0,7.512720156555773,4.0
BGSNL297-23_r_1.5_s_100_BGSNL297-23,BGSNL297-23,9037041,2900,9,1533,81.0,318.0,200.5949119373777,206.0
BGSNL295-23_r_1.3_s_50_BGSNL295-23,BGSNL295-23,15412197,45627,286,1533,2382.0,4099.0,3189.8630136986303,3158.0
BGSNL300-23_r_1_s_50_BGSNL300-23,BGSNL300-23,5167523,2224,172,1533,81.0,200.0,130.0,125.0
BGSNL367-23_r_1_s_100_BGSNL367-23,BGSNL367-23,322637,15,19,1533,0.0,4.0,0.863013698630137,0.0
BGSNL311-23_r_1.3_s_100_BGSNL311-23,BGSNL311-23,7017611,517,4,1533,6.0,59.0,29.340508806262232,28.0
BGSNL288-23_r_1.3_s_100_BGSNL288-23,BGSNL288-23,4430762,425,47,1533,4.0,41.0,23.31115459882583,24.0
BGSNL293-23_r_1_s_50_BGSNL293-23,BGSNL293-23,5293599,1624,92,1533,51.0,150.0,84.46183953033268,82.0
BGSNL325-23_r_1.5_s_100_BGSNL325-23,BGSNL325-23,14934775,2366,315,1533,57.0,206.0,137.37377690802347,136.0
BGSNL357-23_r_1.5_s_100_BGSNL357-23,BGSNL357-23,684734,69,27,1533,0.0,14.0,4.156555772994129,4.0
BGSNL293-23_r_1.3_s_50_BGSNL293-23,BGSNL293-23,5293599,1586,92,1533,51.0,148.0,82.99608610567515,81.0
BGSNL357-23_r_1_s_50_BGSNL357-23,BGSNL357-23,684734,125,27,1533,0.0,20.0,6.232876712328767,5.0
BGSNL353-23_r_1_s_50_BGSNL353-23,BGSNL353-23,270619,78,14,1533,0.0,17.0,4.612524461839531,4.0
BGSNL296-23_r_1.3_s_100_BGSNL296-23,BGSNL296-23,12286687,3026,687,1533,69.0,338.0,205.26027397260273,202.0
BGSNL377-23_r_1.3_s_100_BGSNL377-23,BGSNL377-23,16172639,699,1,1542,0.0,127.0,38.58171206225681,30.0
BGSNL344-23_r_1.5_s_100_BGSNL344-23,BGSNL344-23,14530339,2786,564,1533,91.0,258.0,178.58904109589042,174.0
BGSNL329-23_r_1.3_s_100_BGSNL329-23,BGSNL329-23,8242195,1879,9,1533,52.0,204.0,133.35616438356163,131.0
BGSNL317-23_r_1_s_50_BGSNL317-23,BGSNL317-23,8470784,3580,2,1533,132.0,272.0,200.97651663405088,195.0
BGSNL369-23_r_1.3_s_50_BGSNL369-23,BGSNL369-23,151758,12,4,1533,0.0,4.0,0.6516634050880626,0.0
BGSNL368-23_r_1_s_50_BGSNL368-23,BGSNL368-23,7074866,555,3,1533,9.0,54.0,25.61252446183953,24.0
BGSNL334-23_r_1_s_100_BGSNL334-23,BGSNL334-23,6277265,369,2,1533,4.0,56.0,22.095890410958905,21.0
BGSNL332-23_r_1.3_s_100_BGSNL332-23,BGSNL332-23,1070546,282,36,1533,6.0,45.0,19.135029354207436,17.0
BGSNL375-23_r_1.3_s_50_BGSNL375-23,BGSNL375-23,17426757,1409,32,1542,2.0,183.0,60.507782101167315,53.0
BGSNL321-23_r_1_s_100_BGSNL321-23,BGSNL321-23,10128129,1221,109,1533,14.0,109.0,68.1917808219178,68.0
BGSNL359-23_r_1.3_s_100_BGSNL359-23,BGSNL359-23,1793688,74,13,1533,0.0,14.0,4.270058708414873,4.0
BGSNL346-23_r_1_s_100_BGSNL346-23,BGSNL346-23,7700344,742,111,1533,12.0,92.0,42.90802348336595,41.0
BGSNL333-23_r_1_s_100_BGSNL333-23,BGSNL333-23,1714522,360,14,1533,4.0,53.0,23.23679060665362,21.0
BGSNL338-23_r_1.3_s_100_BGSNL338-23,BGSNL338-23,12366182,415,11,1533,2.0,38.0,23.195694716242663,24.0
BGSNL351-23_r_1_s_50_BGSNL351-23,BGSNL351-23,278027,41,12,1533,0.0,8.0,1.6868884540117417,2.0
BGSNL327-23_r_1.5_s_50_BGSNL327-23,BGSNL327-23,6925249,595,76,1533,6.0,52.0,25.814090019569473,26.0
BGSNL330-23_r_1.5_s_100_BGSNL330-23,BGSNL330-23,18059273,3445,7,1533,62.0,401.0,183.2348336594912,178.0
BGSNL320-23_r_1_s_100_BGSNL320-23,BGSNL320-23,8681034,561,14,1533,4.0,61.0,30.23679060665362,28.0
BGSNL336-23_r_1_s_100_BGSNL336-23,BGSNL336-23,6036864,1031,293,1533,29.0,112.0,69.28571428571429,68.0
BGSNL347-23_r_1.3_s_50_BGSNL347-23,BGSNL347-23,8294240,4637,224,1533,245.0,409.0,318.4755381604697,315.0
BGSNL321-23_r_1.5_s_50_BGSNL321-23,BGSNL321-23,10128129,1968,109,1533,20.0,149.0,89.7436399217221,92.0
BGSNL348-23_r_1.3_s_50_BGSNL348-23,BGSNL348-23,8170242,3770,38,1533,152.0,321.0,219.26418786692759,215.0
BGSNL303-23_r_1_s_50_BGSNL303-23,BGSNL303-23,3767298,494,0,1533,2.0,62.0,18.94911937377691,17.0
BGSNL374-23_r_1.5_s_50_BGSNL374-23,BGSNL374-23,13686577,11392,557,1536,1.0,1215.0,737.65234375,704.0
BGSNL380-23_r_1.5_s_50_BGSNL380-23,BGSNL380-23,20095016,6505,1023,1542,0.0,600.0,483.81322957198444,478.0
BGSNL361-23_r_1_s_50_BGSNL361-23,BGSNL361-23,5185074,207,2,1533,0.0,28.0,7.64774951076321,6.0
BGSNL333-23_r_1.5_s_100_BGSNL333-23,BGSNL333-23,1714522,338,14,1533,4.0,51.0,21.39921722113503,19.0
BGSNL347-23_r_1.3_s_100_BGSNL347-23,BGSNL347-23,8294240,4006,224,1533,199.0,399.0,299.9354207436399,296.0
BGSNL322-23_r_1.3_s_50_BGSNL322-23,BGSNL322-23,22566626,964,1,1533,21.0,94.0,47.44227005870842,45.0
BGSNL316-23_r_1.5_s_50_BGSNL316-23,BGSNL316-23,13218991,2193,4,1533,58.0,184.0,104.69080234833659,101.0
BGSNL291-23_r_1_s_100_BGSNL291-23,BGSNL291-23,5001286,114,52,1533,0.0,13.0,6.686888454011742,7.0
BGSNL324-23_r_1.5_s_100_BGSNL324-23,BGSNL324-23,4834287,183,1,1533,0.0,22.0,10.833659491193737,10.0
BGSNL297-23_r_1_s_50_BGSNL297-23,BGSNL297-23,9037041,3739,9,1533,103.0,366.0,228.47358121330723,229.0
BGSNL302-23_r_1.3_s_50_BGSNL302-23,BGSNL302-23,7056972,294,45,1533,1.0,36.0,13.547945205479452,14.0
BGSNL320-23_r_1_s_50_BGSNL320-23,BGSNL320-23,8681034,932,14,1533,12.0,79.0,41.71819960861057,40.0
BGSNL290-23_r_1_s_100_BGSNL290-23,BGSNL290-23,6818168,187,205,1533,4.0,22.0,12.013698630136986,12.0
BGSNL324-23_r_1.3_s_100_BGSNL324-23,BGSNL324-23,4834287,189,1,1533,0.0,22.0,11.185909980430528,11.0
BGSNL371-23_r_1.5_s_50_BGSNL371-23,BGSNL371-23,23813774,18034,78,1536,1.0,1443.0,1053.181640625,1027.5
BGSNL323-23_r_1.3_s_100_BGSNL323-23,BGSNL323-23,14543693,2135,0,1533,52.0,208.0,121.55381604696673,120.0
BGSNL342-23_r_1.3_s_50_BGSNL342-23,BGSNL342-23,9073761,2805,0,1533,142.0,256.0,193.76125244618396,195.0
BGSNL356-23_r_1_s_100_BGSNL356-23,BGSNL356-23,1693354,427,312,1533,0.0,82.0,31.25440313111546,31.0
BGSNL299-23_r_1_s_100_BGSNL299-23,BGSNL299-23,3314032,537,98,1533,6.0,80.0,29.841487279843445,26.0
BGSNL302-23_r_1.5_s_50_BGSNL302-23,BGSNL302-23,7056972,276,45,1533,0.0,36.0,12.747553816046967,13.0
BGSNL309-23_r_1.5_s_100_BGSNL309-23,BGSNL309-23,22042112,6853,239,1533,174.0,611.0,385.43639921722115,372.0
BGSNL298-23_r_1_s_50_BGSNL298-23,BGSNL298-23,9908475,1086,105,1533,13.0,87.0,42.49315068493151,40.0
BGSNL298-23_r_1.3_s_50_BGSNL298-23,BGSNL298-23,9908475,1036,105,1533,13.0,83.0,40.79256360078278,39.0
BGSNL305-23_r_1.5_s_50_BGSNL305-23,BGSNL305-23,9244193,4313,76,1533,128.0,313.0,203.46966731898237,203.0
BGSNL344-23_r_1.5_s_50_BGSNL344-23,BGSNL344-23,14530339,3549,564,1533,137.0,313.0,201.16829745596868,195.0
BGSNL340-23_r_1.3_s_100_BGSNL340-23,BGSNL340-23,8551681,2620,27,1533,101.0,261.0,186.87671232876713,190.0
BGSNL341-23_r_1_s_100_BGSNL341-23,BGSNL341-23,7983730,2114,429,1533,68.0,246.0,141.26614481409,136.0
BGSNL290-23_r_1.3_s_50_BGSNL290-23,BGSNL290-23,6818168,331,205,1533,5.0,34.0,16.228962818003914,16.0
BGSNL367-23_r_1.3_s_100_BGSNL367-23,BGSNL367-23,322637,15,19,1533,0.0,4.0,0.863013698630137,0.0
