ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	marker_code	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	group_id	r	s	fcleaner	merge	n_reads_in	n_reads_aligned	n_reads_skipped	ref_length	cov_min	cov_max	cov_avg	cov_med
9	11	data/BGE00304_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Veliidae	BLAST	family	COI-5P	657	1533	Veliidae	BGSNH001-24_r_1_s_50	Rhagovelia nigricans	0	BGSNH001-24	1	50	False	False	14730714	619	418	1533	12.0	55.0	28.49119373776908	28.0
0	0	data/BGE00304_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Veliidae	BLAST	family	COI-5P	657	1533	Veliidae	BGSNH001-24_r_1_s_100	Rhagovelia nigricans	0	BGSNH001-24	1	100	False	False	14730714	309	418	1533	5.0	36.0	19.37573385518591	19.0
2	2	data/BGE00304_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Veliidae	BLAST	family	COI-5P	657	1533	Veliidae	BGSNH001-24_r_1.3_s_50	Rhagovelia nigricans	0	BGSNH001-24	1.3	50	False	False	14730714	502	418	1533	12.0	54.0	24.66340508806262	24.0
0	0	data/BGE00304_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Veliidae	BLAST	family	COI-5P	657	1533	Veliidae	BGSNH001-24_r_1.3_s_100	Rhagovelia nigricans	0	BGSNH001-24	1.3	100	False	False	14730714	305	418	1533	5.0	36.0	19.12720156555773	18.0
1	1	data/BGE00304_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Veliidae	BLAST	family	COI-5P	657	1533	Veliidae	BGSNH001-24_r_1.5_s_50	Rhagovelia nigricans	0	BGSNH001-24	1.5	50	False	False	14730714	430	418	1533	10.0	39.0	22.450097847358123	22.0
0	0	data/BGE00304_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Veliidae	BLAST	family	COI-5P	657	1533	Veliidae	BGSNH001-24_r_1.5_s_100	Rhagovelia nigricans	0	BGSNH001-24	1.5	100	False	False	14730714	297	418	1533	5.0	36.0	18.696673189823876	18.0
71	88	data/BGE00304_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Veliidae	BLAST	family	COI-5P	656	1533	Gerridae,Veliidae	BGSNH002-24_r_1_s_50	Rhagovelia nigricans	0	BGSNH002-24	1	50	False	False	4747276	1365	740	1533	7.0	331.0	90.41682974559687	81.0
54	66	data/BGE00304_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Veliidae	BLAST	family	COI-5P	656	1533	Gerridae,Veliidae	BGSNH002-24_r_1_s_100	Rhagovelia nigricans	0	BGSNH002-24	1	100	False	False	4747276	905	740	1533	4.0	177.0	76.7866927592955	70.0
27	28	data/BGE00304_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Veliidae	BLAST	family	COI-5P	657	1533	Gerridae,Veliidae	BGSNH002-24_r_1.3_s_50	Rhagovelia nigricans	0	BGSNH002-24	1.3	50	False	False	4747276	898	740	1533	7.0	208.0	49.22504892367906	43.0
21	21	data/BGE00304_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Veliidae	BLAST	family	COI-5P	657	1533	Veliidae	BGSNH002-24_r_1.3_s_100	Rhagovelia nigricans	0	BGSNH002-24	1.3	100	False	False	4747276	584	740	1533	4.0	103.0	40.93933463796478	36.0
