ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	marker_code	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	group_id	r	s	fcleaner	merge	n_reads_in	n_reads_aligned	n_reads_skipped	ref_length	cov_min	cov_max	cov_avg	cov_med	inst	validation_steps	assembly_params
7	35	data/BGE00579_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Brachodidae	BLAST	family	COI-5P	642	1455	Endromidae,Erebidae,Nymphalidae,Pyralidae,Crambidae	BBIOP3326-24_r_1_s_50	Brachodes laeta	0	BBIOP3326-24	1	50	False	False	5613091	176	492	1539	0.0	38.0	8.04093567251462	7.0	Naturalis Biodiversity Center	1	6
4	9	data/BGE00579_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Brachodidae	BLAST	family	COI-5P	642	1371	Erebidae,Pyralidae,Crambidae,Geometridae	BBIOP3326-24_r_1_s_100	Brachodes laeta	0	BBIOP3326-24	1	100	False	False	5613091	52	492	1539	0.0	13.0	4.306042884990253	5.0	Naturalis Biodiversity Center	1	6
6	7	data/BGE00579_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Brachodidae	BLAST	family	COI-5P	642	1419	Limacodidae,Erebidae,Pyralidae,Crambidae	BBIOP3326-24_r_1.3_s_50	Brachodes laeta	0	BBIOP3326-24	1.3	50	False	False	5613091	83	492	1539	0.0	17.0	4.875243664717349	5.0	Naturalis Biodiversity Center	1	6
6	10	data/BGE00579_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Brachodidae	BLAST	family	COI-5P	642	1371	Erebidae,Pyralidae,Crambidae,Geometridae	BBIOP3326-24_r_1.3_s_100	Brachodes laeta	0	BBIOP3326-24	1.3	100	False	False	5613091	49	492	1539	0.0	11.0	3.990253411306043	4.0	Naturalis Biodiversity Center	1	6
2	8	data/BGE00579_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Brachodidae	BLAST	family	COI-5P	600	1347	Limacodidae,Erebidae,Pyralidae,Crambidae	BBIOP3326-24_r_1.5_s_50	Brachodes laeta	0	BBIOP3326-24	1.5	50	False	False	5613091	59	492	1539	0.0	12.0	3.6920077972709553	4.0	Naturalis Biodiversity Center	1	6
2	2	data/BGE00579_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Brachodidae	BLAST	family	COI-5P	600	1299	Erebidae,Nymphalidae,Pyralidae,Crambidae	BBIOP3326-24_r_1.5_s_100	Brachodes laeta	0	BBIOP3326-24	1.5	100	False	False	5613091	37	492	1539	0.0	9.0	3.101364522417154	3.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00579_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Tortricidae	BLAST	family	COI-5P	657	1530	Tortricidae	BBIOP3327-24_r_1_s_50	Neocochylis millierana	0	BBIOP3327-24	1	50	False	False	2908286	2750	119	1530	167.0	410.0	258.5019607843137	255.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00579_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Tortricidae	BLAST	family	COI-5P	657	1530	Tortricidae	BBIOP3327-24_r_1_s_100	Neocochylis millierana	0	BBIOP3327-24	1	100	False	False	2908286	2501	119	1530	166.0	391.0	251.0843137254902	248.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00579_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Tortricidae	BLAST	family	COI-5P	657	1530	Tortricidae	BBIOP3327-24_r_1.3_s_50	Neocochylis millierana	0	BBIOP3327-24	1.3	50	False	False	2908286	2634	119	1530	163.0	401.0	251.14117647058825	248.0	Naturalis Biodiversity Center	1	6
0	0	data/BGE00579_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Tortricidae	BLAST	family	COI-5P	657	1530	Tortricidae	BBIOP3327-24_r_1.3_s_100	Neocochylis millierana	0	BBIOP3327-24	1.3	100	False	False	2908286	2448	119	1530	163.0	391.0	246.15686274509804	243.0	Naturalis Biodiversity Center	1	6
