ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	marker_code	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	group_id	r	s	fcleaner	merge
0	4	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	657	1566	Ichneumonidae	BGLIB856-24_r_1_s_50	Syrphoctonus elegans	0	BGLIB856-24	1	50	False	False
0	1	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	657	1542	Ichneumonidae	BGLIB856-24_r_1_s_100	Syrphoctonus elegans	0	BGLIB856-24	1	100	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	657	1566	Ichneumonidae	BGLIB856-24_r_1.3_s_50	Syrphoctonus elegans	0	BGLIB856-24	1.3	50	False	False
0	1	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	657	1539	Ichneumonidae	BGLIB856-24_r_1.3_s_100	Syrphoctonus elegans	0	BGLIB856-24	1.3	100	False	False
0	2	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	657	1545	Ichneumonidae	BGLIB856-24_r_1.5_s_50	Syrphoctonus elegans	0	BGLIB856-24	1.5	50	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	657	1512	Ichneumonidae	BGLIB856-24_r_1.5_s_100	Syrphoctonus elegans	0	BGLIB856-24	1.5	100	False	False
1	4	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	655	1536	Ichneumonidae	BGLIB857-24_r_1_s_50	Stenodontus biguttatus	0	BGLIB857-24	1	50	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	655	1536	Ichneumonidae	BGLIB857-24_r_1_s_100	Stenodontus biguttatus	0	BGLIB857-24	1	100	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	655	1536	Ichneumonidae	BGLIB857-24_r_1.3_s_50	Stenodontus biguttatus	0	BGLIB857-24	1.3	50	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	655	1536	Ichneumonidae	BGLIB857-24_r_1.3_s_100	Stenodontus biguttatus	0	BGLIB857-24	1.3	100	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	625	1461	Ichneumonidae	BGLIB857-24_r_1.5_s_50	Stenodontus biguttatus	0	BGLIB857-24	1.5	50	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	607	1392	Ichneumonidae	BGLIB857-24_r_1.5_s_100	Stenodontus biguttatus	0	BGLIB857-24	1.5	100	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	657	1566	Ichneumonidae	BGLIB858-24_r_1_s_50	Smicroplectrus bohemani	0	BGLIB858-24	1	50	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	657	1545	Ichneumonidae	BGLIB858-24_r_1_s_100	Smicroplectrus bohemani	0	BGLIB858-24	1	100	False	False
0	1	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	657	1560	Ichneumonidae	BGLIB858-24_r_1.3_s_50	Smicroplectrus bohemani	0	BGLIB858-24	1.3	50	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	657	1539	Ichneumonidae	BGLIB858-24_r_1.3_s_100	Smicroplectrus bohemani	0	BGLIB858-24	1.3	100	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	654	1458	Ichneumonidae,Crabronidae,Formicidae,Pteromalidae	BGLIB858-24_r_1.5_s_50	Smicroplectrus bohemani	0	BGLIB858-24	1.5	50	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	636	1419	Ichneumonidae	BGLIB858-24_r_1.5_s_100	Smicroplectrus bohemani	0	BGLIB858-24	1.5	100	False	False
28	33	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	657	1566	Ichneumonidae,Geometridae	BGLIB859-24_r_1_s_50	Smicroplectrus excisus	0	BGLIB859-24	1	50	False	False
13	19	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	657	1536	Ichneumonidae	BGLIB859-24_r_1_s_100	Smicroplectrus excisus	0	BGLIB859-24	1	100	False	False
6	7	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	618	1476	Ichneumonidae,Vespidae	BGLIB859-24_r_1.3_s_50	Smicroplectrus excisus	0	BGLIB859-24	1.3	50	False	False
16	17	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	618	1356	Ichneumonidae	BGLIB859-24_r_1.3_s_100	Smicroplectrus excisus	0	BGLIB859-24	1.3	100	False	False
1	1	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	591	1365	Ichneumonidae	BGLIB859-24_r_1.5_s_50	Smicroplectrus excisus	0	BGLIB859-24	1.5	50	False	False
1	2	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	579	1263	Ichneumonidae	BGLIB859-24_r_1.5_s_100	Smicroplectrus excisus	0	BGLIB859-24	1.5	100	False	False
0	2	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	654	1557	Ichneumonidae	BGLIB860-24_r_1_s_50	Sphinctus serotinus	0	BGLIB860-24	1	50	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	654	1530	Ichneumonidae	BGLIB860-24_r_1_s_100	Sphinctus serotinus	0	BGLIB860-24	1	100	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	654	1557	Ichneumonidae	BGLIB860-24_r_1.3_s_50	Sphinctus serotinus	0	BGLIB860-24	1.3	50	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	654	1530	Ichneumonidae	BGLIB860-24_r_1.3_s_100	Sphinctus serotinus	0	BGLIB860-24	1.3	100	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	639	1473	Ichneumonidae	BGLIB860-24_r_1.5_s_50	Sphinctus serotinus	0	BGLIB860-24	1.5	50	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	639	1371	Ichneumonidae	BGLIB860-24_r_1.5_s_100	Sphinctus serotinus	0	BGLIB860-24	1.5	100	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	655	1566	Ichneumonidae	BGLIB861-24_r_1_s_50	Tryphon nigripes	0	BGLIB861-24	1	50	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	655	1560	Ichneumonidae	BGLIB861-24_r_1_s_100	Tryphon nigripes	0	BGLIB861-24	1	100	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	655	1545	Ichneumonidae	BGLIB861-24_r_1.3_s_50	Tryphon nigripes	0	BGLIB861-24	1.3	50	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	655	1545	Ichneumonidae	BGLIB861-24_r_1.3_s_100	Tryphon nigripes	0	BGLIB861-24	1.3	100	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	643	1533	Ichneumonidae	BGLIB861-24_r_1.5_s_50	Tryphon nigripes	0	BGLIB861-24	1.5	50	False	False
0	0	data/BGE00410_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Ichneumonidae	BLAST	family	COI-5P	640	1530	Ichneumonidae	BGLIB861-24_r_1.5_s_100	Tryphon nigripes	0	BGLIB861-24	1.5	100	False	False
